569100
/m/02q_qs
/m/02q_qs
Terry Pratchett
1999
a 15
abandons 1
able 1
about 1
abundant 1
according 1
across 2
acting 1
activities 1
advantage 1
against 1
along 1
already 1
also 4
ambassador 2
an 4
and 21
angua 4
ankh 1
ankhmorpork 7
apparent 1
are 4
arrest 1
arrive 1
as 9
attacked 1
attempt 1
back 3
becomes 1
been 2
beginning 1
berwald 5
between 2
book 1
bread 1
brother 1
but 5
by 5
cabal 1
cameras 1
capacity 1
captain 3
carrot 4
castle 1
cause 1
cave 2
ceremony 2
chased 1
city 3
civil 1
clacks 2
clamping 1
close 1
closely 1
colon 4
commander 3
commit 1
communications 1
concealed 1
concludes 1
consequently 1
conspiracy 1
conspiring 1
constable 4
coronation 2
corporal 1
could 1
country 2
countryside 1
deeply 1
defeat 1
demoting 1
department 1
deposits 1
designated 1
destabilize 1
destroyed 1
determines 1
did 1
different 1
difficulty 1
disc 1
discworldsupporting 1
divided 1
dorfl 1
duke 1
duties 1
dwarf 3
dwarfs 7
dwindles 1
elephant 1
embassy 1
enthrone 1
enthronement 1
entourage 1
escapes 1
eventually 1
expanding 1
exploit 1
extends 1
fact 1
family 1
fat 3
feudal 1
fifth 1
final 1
finally 1
finishes 1
flare 1
floor 1
following 1
for 4
form 1
forthcoming 1
from 3
fulfilling 1
gather 1
golem 1
granted 1
guard 2
guarded 1
guild 1
has 2
have 1
he 3
head 1
her 3
him 2
his 6
home 1
homing 1
hoping 1
iconograph 1
impacted 1
implemented 1
imports 2
imprisoned 1
in 16
include 1
increased 1
increasingly 1
instigate 1
into 1
investigate 1
investigating 1
investigation 1
is 15
isolate 1
it 5
its 2
join 1
just 2
kept 1
killed 1
king 5
lance 1
later 1
leaders 1
leadership 1
learns 1
leaving 1
legend 1
life 1
like 1
local 2
low 5
lump 1
made 1
managing 1
meanwhile 1
meets 1
members 2
mine 1
minor 1
mission 1
mixing 1
more 1
morporkians 1
much 1
murderous 1
museum 1
negotiate 1
nevertheless 1
new 3
nobbs 1
nobby 3
not 2
nothing 1
novel 1
now 1
number 1
of 32
offences 1
officers 1
official 1
old 1
on 5
once 1
opportunity 1
ordering 1
original 1
other 2
out 2
overburdened 1
pack 1
paranoid 1
parody 1
part 1
pigeons 1
place 1
planned 1
powerhungry 1
prehistoric 1
prime 1
progressive 1
protest 2
punishing 1
pursues 1
putsch 1
rank 1
rapidly 1
rates 1
real 2
reallife 1
recover 1
reg 1
regalia 1
region 1
remains 1
remote 1
replace 1
replica 4
resists 1
response 1
rest 1
restore 1
returned 1
returning 2
run 1
samuel 1
sand 1
save 2
scone 8
secure 1
seek 1
sent 1
sergeant 1
set 1
sets 2
shoe 1
situ 1
so 1
society 1
someone 1
standoff 1
starting 1
stealing 1
stolen 2
stone 7
stop 1
strict 1
such 1
sugar 1
supposedly 1
suspect 1
system 1
take 1
taken 1
takes 2
team 1
technology 1
that 5
the 61
theft 3
their 1
them 1
there 2
they 4
think 1
this 1
thus 1
time 1
times 1
to 24
together 1
too 1
traditional 1
traditionalists 1
traffic 2
uberwald 1
undamaged 1
under 2
underground 1
unofficial 1
up 1
using 1
vampires 1
vimes 8
visit 2
vital 1
war 1
was 1
watch 8
watchmen 1
way 1
ways 1
werewolf 2
werewolves 4
wheel 1
which 1
who 1
wife 1
will 1
wintry 1
with 7
without 1
wolfgang 3
zombie 1
