5542375
/m/0drq3x
/m/0drq3x
Ntozake Shange

{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
15 2
150s 3
154 2
155 1
185 1
2000 1
a 26
about 1
abused 1
accept 1
act 4
action 1
activist 1
activists 1
admitted 1
afford 1
afraid 3
african 1
africanamerican 2
africanamericans 2
after 4
against 1
ages 1
all 1
america 1
americans 3
among 2
an 7
and 30
another 1
antidiscriminatory 1
approach 2
are 5
as 6
ascribed 1
at 3
attitude 2
attitudes 1
away 1
bad 1
be 3
beautiful 1
because 3
been 1
before 1
begins 1
behavior 1
being 3
believed 1
believes 1
belonged 1
belongs 1
besides 1
betsey 11
better 1
between 1
black 5
blame 1
book 1
boundaries 1
boy 1
brings 1
brown 3
but 6
by 3
can 2
cannot 1
career 1
caretaker 4
case 1
caused 2
change 3
changed 2
changes 2
children 10
city 1
class 1
classes 1
clean 1
color 2
comes 1
communities 1
complex 1
conformism 1
connected 1
constant 1
contrasted 1
controlled 1
cook 1
could 1
created 1
crisis 1
crucial 1
dangerous 1
dangers 1
dare 1
daughter 1
day 2
demonstration 1
dependent 1
described 1
desegregation 1
despite 1
destroyed 1
did 1
different 3
discriminated 1
district 1
do 1
doctor 1
does 2
dream 1
dresser 1
during 2
each 1
education 1
effort 1
emmet 3
employ 1
enough 1
equal 3
equality 3
essential 2
even 3
event 1
events 2
everybody 2
everywhere 1
example 2
expressing 1
extended 1
extremely 1
facts 1
families 1
family 4
father 2
fear 1
fight 3
fighting 1
financially 1
first 3
for 13
from 2
future 1
gender 1
generation 2
get 1
go 3
got 2
grandma 1
greer 4
grows 1
hair 1
hand 1
has 3
hatred 1
have 4
he 5
her 17
heritage 1
herself 1
hiatus 1
him 2
his 9
historical 1
home 4
horrible 1
house 2
huge 1
husband 1
identity 1
importance 1
important 1
in 29
incorporated 1
inferior 1
integrate 1
into 1
introduced 2
invisible 1
is 18
it 5
jail 1
jane 5
job 1
just 1
know 1
later 2
leaves 1
legal 2
legitimate 1
lesson 1
life 1
lifestyles 1
lifetimes 1
like 2
live 3
lives 1
local 1
look 1
looking 1
lot 1
louis 1
lynched 1
lynching 1
made 1
many 4
meaningless 1
meant 1
members 2
men 1
mentality 1
mentioned 2
method 1
microcosm 1
middle 1
might 1
mixed 1
mixing 1
model 1
mom 1
more 2
most 2
mother 6
movement 1
murdered 1
must 1
name 1
namely 1
neighborhood 1
never 1
new 6
nobody 1
not 10
noticed 1
novel 3
nurse 1
obliged 1
of 28
offspring 1
older 1
on 2
one 3
only 2
openly 1
oppose 1
oppression 1
or 3
order 1
other 2
others 1
out 2
outcry 1
outrageous 1
over 3
own 1
parents 1
part 1
participates 2
particular 2
partner 1
peers 1
people 9
perfect 1
persistence 1
playing 1
pleasures 1
poem 1
poor 1
positive 1
predominately 1
presented 1
pride 1
prize 1
professional 1
proves 1
pupils 1
purpose 1
put 1
races 1
radical 1
raise 1
realizes 1
really 1
recitation 1
regardless 1
remembered 1
represents 3
respected 1
result 1
retrospective 1
returns 2
reversal 1
rich 1
roles 2
rule 1
runs 1
same 2
says 1
scene 1
school 3
schools 3
selfconfident 1
separate 1
servant 1
set 1
shange 1
she 11
should 2
show 1
showing 1
shows 1
situation 2
skin 2
so 1
social 4
society 3
some 1
soninlaw 1
st 1
stand 1
stands 2
started 1
status 1
stay 1
stereotype 1
still 2
story 1
strongly 1
studying 1
superb 1
supposed 1
surprised 1
surveillance 1
switch 1
system 3
takes 2
taking 1
taught 1
teaches 1
than 2
that 11
the 52
their 5
there 2
they 4
thing 3
think 1
thinking 1
this 12
those 4
though 1
through 1
till 2
time 2
to 19
together 3
totally 1
toward 2
towards 3
traditionalism 1
traditions 1
treated 1
true 1
ubiquitous 1
unequally 1
up 2
very 2
vida 3
views 1
visible 1
was 15
wealthy 1
well 1
were 4
what 1
when 1
which 10
white 10
whites 1
who 8
whom 2
why 1
wife 1
will 4
win 1
with 7
without 1
woman 2
womanhood 1
women 2
word 1
work 1
worker 1
works 1
would 2
writing 1
written 1
years 1
young 1
