542922
/m/02nc1_
/m/02nc1_
Hergé
1931
{"/m/01vnb": "Comic book"}
a 18
aboard 1
ac 1
accompanies 1
accuse 1
across 1
admiration 1
africa 1
after 1
again 2
aid 1
al 1
american 1
and 13
angered 1
are 1
arrests 1
as 2
assist 1
attack 1
attempts 2
babaorum 4
be 2
become 1
been 2
being 2
belgian 1
between 1
big 1
bites 1
boa 1
bowing 1
boy 1
brought 1
but 2
by 13
capone 2
capture 1
capturing 1
car 1
carnivore 1
catholic 1
cease 1
cheering 1
coco 3
coconuts 1
colonial 1
come 1
congo 1
conspiring 1
constrictor 1
continent 1
controlling 1
crash 1
criminal 1
crocodile 1
crocodiles 1
crowd 1
day 1
dead 1
death 1
decided 1
destroy 1
destroying 1
diamond 2
disguised 1
dog 1
down 2
during 1
eaten 2
ends 1
ensuing 1
even 1
eventually 1
faithful 1
feared 1
fight 1
figure 1
finds 2
fixes 1
footage 1
for 1
fortune 1
from 3
gains 1
gang 1
gangster 1
goes 1
good 1
great 1
greeted 2
had 4
has 5
he 4
help 1
hero 1
him 4
hiring 1
his 7
hostilities 2
hunt 1
idol 2
idolise 1
imprisoned 1
in 5
incenses 1
increase 1
into 1
is 8
it 2
jealous 1
juju 1
kidnapped 1
kill 3
killed 2
king 2
knocked 1
knocking 1
known 1
leads 1
learns 1
leopard 1
letter 1
like 1
lion 1
local 1
look 1
making 2
man 2
mercy 1
mhatuvu 2
might 1
missionary 1
mister 1
monkey 1
monkeys 1
morning 1
muganga 6
native 1
natives 2
neighbours 1
next 2
now 1
of 7
off 1
on 3
one 1
only 1
onto 1
ordered 2
outwits 1
pair 1
people 1
plans 1
pleads 1
plot 1
plots 1
pocket 1
police 1
prior 1
production 1
reading 1
recognising 1
rendezvous 1
reporter 2
rescue 1
rescued 2
rescues 1
rest 1
sacred 1
saved 1
saving 1
ship 1
shows 1
smuggling 1
snowy 5
something 1
spirits 1
starts 1
stating 1
stowaway 9
subsequently 2
succeeding 1
survives 1
tail 1
that 7
the 38
their 2
them 4
then 4
this 1
throwing 1
tintin 18
to 16
too 1
tows 1
train 1
travel 1
travels 1
tree 1
tribe 1
trying 1
unconscious 2
very 1
village 3
villagers 1
villain 1
war 1
was 1
waterfall 1
where 2
which 3
white 2
who 5
whose 1
witchdoctor 1
with 5
woman 1
