5874727
/m/0fb7cw
/m/0fb7cw
Nino Ricci

7yearold 1
a 5
actually 1
affair 2
america 3
and 7
around 1
as 4
assume 2
at 1
aunt 3
away 1
be 1
become 1
becomes 2
believed 1
birth 1
bitten 1
blue 1
blueeyed 3
boat 1
book 2
bright 1
bullied 1
but 5
by 2
called 1
canada 3
character 1
clear 2
come 1
comfort 1
completely 1
consoles 1
constant 1
cristina 12
cristinas 1
del 1
depart 1
dies 2
different 1
disapprove 1
do 1
does 1
doesnt 1
entirety 1
ever 1
eyes 1
family 2
father 3
first 1
focuses 1
for 1
from 4
gave 1
giving 1
had 1
has 4
having 1
helps 1
her 6
hides 1
him 2
hinted 1
his 6
husband 2
immigrated 1
in 9
incident 1
independence 1
infirmary 1
informed 1
innocente 3
is 10
isolation 1
it 5
italy 1
la 2
later 1
leads 2
leave 1
life 3
like 1
little 1
lives 2
lucia 1
made 1
maestra 2
man 4
mario 5
may 1
mayor 1
meet 2
mention 1
mind 1
miniseries 1
money 1
morning 1
mother 1
much 1
neighbours 2
never 1
not 1
novel 1
oblivious 1
of 10
offend 1
on 5
one 1
originally 1
own 1
pave 1
pay 1
peasant 1
plans 1
postwar 1
pregnancy 1
pregnant 2
rejection 1
remains 1
reminder 1
remote 1
resigns 1
rest 1
rita 2
ruthless 1
saints 1
scrutinized 1
scrutiny 1
seeks 1
sees 1
sending 1
serves 1
she 4
ship 1
since 1
sister 1
situation 1
sleeping 1
snake 3
so 1
sole 1
something 1
son 1
stable 2
stories 1
superstition 1
suspects 1
sympathizes 1
teacher 1
teresa 3
that 3
the 33
then 2
this 2
though 1
through 1
to 14
town 1
townspeople 3
treatment 1
understand 2
unlike 1
unspoken 1
until 1
valle 1
values 1
village 1
visibly 1
visit 1
vitorrio 1
vittorio 12
was 3
way 1
when 2
which 1
while 3
who 2
whore 1
why 1
with 9
working 1
zia 1
