6120391
/m/0fr4p8
/m/0fr4p8
Steven Barnes
1996-11-15
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
0 1
11 1
50 1
63 1
a 40
aaron 11
ability 2
ablaze 1
able 2
about 1
absent 1
accidentally 1
across 1
adapt 1
adding 1
advanced 1
advantage 2
after 3
again 1
age 1
agitated 1
aircraft 1
all 1
also 3
altercation 1
although 5
always 1
ambition 1
an 9
and 38
animal 1
anomaly 1
another 2
answered 1
answers 1
any 1
aposematic 1
appears 1
approaching 1
are 22
areas 2
armed 1
arrive 1
arrogant 1
artificial 2
as 13
at 3
attacks 1
attempt 1
attributes 1
available 1
avalon 6
avoided 1
avoiding 1
away 2
babies 2
baby 4
background 1
ban 1
bare 1
barelyalive 1
battleproven 1
be 6
beaver 1
beavers 1
because 1
bee 2
been 4
bees 11
before 2
began 1
begins 1
behaves 1
benefit 1
beowulfa 1
best 1
between 6
blanket 2
blue 2
bombs 1
bond 2
bonded 1
bones 1
born 1
both 3
bottle 3
boy 1
brain 3
branches 1
breaks 1
breeding 1
brews 1
bridge 1
bridges 1
brightest 1
brilliant 1
building 1
burying 1
but 8
by 8
cadman 1
cadmann 7
cadzie 1
called 1
camelot 4
camp 1
can 1
cannibalistic 1
capable 1
cargo 1
carry 1
casualty 2
causes 1
caution 1
cements 1
ceti 1
challenge 1
challenging 1
changing 1
chemically 1
cherry 1
children 2
chose 1
cistern 1
coexistence 1
collect 2
collectively 1
colonists 8
colonization 1
colony 7
coming 2
conflict 2
confront 1
contrast 1
controllable 1
convinced 1
cooperate 2
cooperated 1
cooperating 1
cooperative 1
covered 1
cowardice 1
crops 1
crustaceanlike 1
cycle 2
damage 1
danger 4
dangerous 3
dead 2
deal 1
decision 1
deem 1
deliberate 1
demonic 1
depends 1
desert 1
desperate 1
destroyed 1
devastation 1
develop 1
development 3
dichotomy 1
did 1
die 1
difference 1
disability 1
discoveries 1
discovers 1
discovery 2
disturbed 1
disturbing 1
do 1
dogma 1
drags 1
drawbacks 1
dream 1
drive 1
driven 1
driving 1
drove 1
due 1
during 3
dying 1
each 2
