9010959
/m/027tbn8
/m/027tbn8
Ernest Bramah
1928
a 35
about 1
accepts 1
accomplishments 1
actions 1
adventures 1
all 1
allowed 1
along 2
an 7
and 16
any 1
apprentice 1
are 2
as 6
at 5
attention 1
averter 1
away 1
back 1
bandless 1
barbarians 1
be 2
becomes 1
been 2
before 1
beings 1
beside 1
best 1
bestows 1
better 1
body 3
book 1
books 1
boy 1
breath 1
bring 1
but 3
by 4
calamities 1
can 1
cannot 1
captain 1
case 1
catch 1
chiu 1
city 1
comes 3
containing 1
contains 1
corrupt 1
creates 1
crescent 1
cut 1
cuts 1
daughters 1
day 3
decides 2
deposed 1
devastated 1
devours 1
diesbut 1
difficulties 1
diligently 1
directed 1
direction 1
disarray 1
discovers 1
disguised 1
displeased 1
do 1
does 1
dont 1
during 1
dynasty 1
early 1
earth 1
elderly 1
emperor 1
employs 1
enlightenment 1
enough 1
everyone 1
everything 1
exact 1
excuses 1
expected 2
eyelids 3
famine 1
famous 1
fangtso 1
far 1
farmer 1
few 1
finally 1
finding 1
finds 2
fingerprints 1
foot 1
for 5
forbidding 1
foreigner 1
from 2
get 1
give 1
giving 1
gods 1
goes 2
great 1
greedily 1
grows 1
hand 1
happiness 1
has 5
he 12
head 1
heaven 1
hill 1
him 7
himself 1
his 17
history 1
ho 6
home 1
honorable 1
honors 1
however 3
if 1
imagined 1
in 7
informed 1
inhabit 1
into 1
intriguing 1
is 8
it 3
its 1
ivorycarver 1
kai 6
kham 1
killing 1
kin 1
king 1
lady 1
lamkwong 2
land 2
last 1
later 2
leaves 1
led 1
life 1
like 1
lin 6
listener 1
live 1
living 1
look 1
lot 1
lunch 1
lung 6
lying 1
main 1
make 3
man 1
mandarin 1
manghi 1
meet 1
meets 2
members 1
merchant 1
mere 1
ming 3
miraculous 1
monarch 1
moon 1
much 2
mythical 1
named 2
narrative 1
need 1
needs 1
neighbors 1
neighbour 1
nicer 1
not 6
now 1
obstruction 1
of 22
off 2
offering 1
official 1
on 2
once 1
one 6
onion 3
order 1
original 1
orphaned 1
out 1
overthrows 1
own 1
pagoda 1
part 1
people 1
perfect 1
period 1
poisoned 1
poor 1
poses 1
possess 1
post 1
potion 1
pretense 1
problem 1
promise 1
prophecy 1
proportion 1
proud 1
purposeful 1
pursuit 1
quite 1
rather 1
reaction 1
ready 1
real 1
realizes 1
receive 1
received 1
recognition 1
redeems 1
rediscovered 1
remarkable 1
renter 1
resolved 1
resume 1
return 1
reward 2
rich 1
rid 1
ring 1
rumored 1
sage 1
same 1
scion 1
sees 2
sending 1
sent 1
serve 1
shrine 2
shrub 3
shu 3
side 2
skills 1
slave 1
sleep 1
so 4
some 1
soon 1
speak 1
spot 1
state 1
steal 1
stoically 1
stone 1
stories 2
story 1
subsequently 1
suitor 1
take 2
takes 1
taught 1
teen 1
tells 2
than 2
thang 1
that 9
the 36
them 2
then 2
there 1
they 1
thieves 1
this 3
though 2
throws 1
thumb 1
to 27
tong 1
town 1
treasure 1
tree 1
tribute 1
trouble 2
true 1
tsoi 2
tusk 1
two 1
typically 1
ugly 1
uncle 2
unwelcome 1
unwilling 1
up 2
used 1
usually 1
village 1
virtuous 1
wan 2
wanders 1
warrior 2
way 3
well 1
weng 1
what 1
when 1
where 1
which 2
who 4
whose 1
wife 1
win 1
with 4
without 1
woman 1
wong 2
woods 1
word 1
work 1
works 1
worry 1
would 1
years 1
young 3
