1042960
/m/040_7f
/m/040_7f
Thomas Otway

a 12
about 2
after 1
against 4
agrees 1
all 1
and 11
antonio 2
aquillina 1
around 1
arrives 1
as 3
at 1
atonement 1
attempted 1
attempts 1
audience 1
because 1
before 1
belvidera 6
betraying 2
bloodthirsty 1
breaks 1
but 3
by 4
can 1
care 1
claim 1
commits 1
complaints 1
concerns 1
condemns 1
conspiracy 1
conspirators 5
constantly 1
corrupt 1
crestfallen 1
cut 1
daughter 1
death 3
despite 1
devises 1
die 1
dies 1
dishonourable 1
do 1
does 2
entices 1
escapes 1
executed 1
execution 1
explaining 1
father 1
foolish 1
for 4
foreign 1
forgives 1
form 1
friend 3
gallows 1
get 2
goes 1
has 3
he 4
her 4
him 4
his 6
honour 1
honourably 1
hostage 1
impoverished 1
in 3
informs 1
inheritance 1
insane 1
into 1
introduces 1
is 6
it 2
its 1
jaffeir 13
kill 2
late 1
led 1
lives 1
losing 1
married 1
mistress 1
must 1
named 1
night 1
noble 1
not 1
nothing 1
oath 1
of 7
off 1
on 1
only 1
own 2
pardon 2
paying 1
pierre 8
plan 1
play 1
plot 2
plotting 1
priuli 2
privilege 1
proud 1
put 1
rape 2
reasons 1
rebuffed 1
relations 1
remorse 1
renault 3
resentment 1
reveal 1
revolve 1
reward 1
secretly 1
senate 6
senator 2
senatorial 1
sentenced 1
she 4
so 1
soldier 2
stabs 1
stokes 1
suicide 1
tells 1
that 2
the 22
their 1
then 2
this 1
threatens 1
to 12
too 1
trust 1
unheard 1
unless 1
venetian 1
venice 1
visits 1
whispers 1
who 2
will 1
with 1
word 1
