58621
/m/0g05k
/m/0g05k
Iain Banks
1992
a 4
accept 1
adolescent 1
afterlife 2
along 1
also 2
an 2
and 7
another 1
argyll 1
at 1
back 1
becomes 1
behind 1
belief 1
believe 1
bildungsroman 1
book 1
but 1
by 1
called 1
can 1
cannot 1
cant 1
cease 1
clues 1
concerns 1
cope 1
crinan 1
crow 1
days 1
decades 1
denies 1
description 1
die 1
disappearance 1
disappeared 1
dogmatically 1
east 1
efforts 2
eight 1
estrangement 2
exist 1
existence 1
failure 1
father 3
fictional 1
fixation 1
for 1
forth 1
fragmentary 2
from 3
gallanach 1
general 1
glasgow 1
god 2
gradual 1
has 1
he 2
higher 1
his 7
in 4
is 3
its 1
just 1
leaping 1
left 1
life 1
little 1
lives 1
loch 1
lochgair 1
love 3
make 1
mature 1
mchoan 1
minimal 1
mirror 1
months 1
more 1
must 2
mystery 1
narrative 1
no 1
north 1
notes 1
oban 1
obsessed 1
of 6
on 2
one 1
or 3
out 1
papers 1
parallel 1
people 1
piece 2
plot 1
power 1
prentice 6
previous 1
purpose 2
reader 1
real 1
reminiscent 1
rivalry 1
road 1
rory 2
sense 1
set 1
sets 1
shore 1
sibling 1
so 1
solve 1
some 2
studies 1
surrounding 1
that 1
the 13
they 1
things 1
this 1
to 5
together 2
town 1
transition 1
uncle 3
universal 1
universe 1
unrequited 1
village 1
warning 1
way 1
when 1
where 1
while 1
with 3
without 1
woman 1
world 1
writing 1
years 2
young 1
