14738951
/m/03gw5k7
/m/03gw5k7
Laurence Yep

a 45
able 3
about 2
access 1
accompanied 1
adopts 1
advantage 1
after 6
again 1
against 1
agrees 1
aid 1
all 2
allowing 2
along 1
also 2
although 2
ambushed 1
amidst 1
an 7
ancient 2
and 50
anvil 1
appears 1
are 14
around 1
arrest 1
arrives 2
as 13
assisted 1
assists 1
assume 1
at 5
attack 1
attacked 1
attempt 1
attempts 1
avail 1
avalanche 1
away 3
back 2
baldy 1
baldys 1
barrier 4
battled 1
be 6
beach 1
because 1
becoming 2
bed 1
been 4
begins 2
being 4
beings 1
believes 2
bellows 1
best 2
bind 1
blames 1
blocking 1
boat 3
body 1
boil 1
boneless 10
bottom 1
bowl 1
breaks 1
bring 1
broken 2
brought 1
building 3
built 1
buoyancy 1
buried 2
burn 1
burned 1
but 11
butcher 6
by 23
camp 1
can 3
cannot 2
capable 1
capture 1
captured 1
carried 1
casts 1
cauldron 9
cauldronthorn 1
causing 1
cavern 1
certain 1
chemical 1
civet 12
clay 2
climbing 1
close 1
collapse 1
come 1
coming 1
communicate 1
companions 1
confusion 1
constructing 1
containing 1
could 2
crack 1
cracked 1
created 1
creates 1
cross 1
current 1
darkness 1
day 1
deaf 1
debt 1
decides 1
declaring 1
desolate 1
desperate 1
despite 2
destroyed 2
destroying 3
determine 1
determined 1
devices 1
disappointed 1
discovering 1
discovers 1
discovery 1
discuss 1
disguise 2
disguised 1
disguising 1
dissipate 1
distraction 1
distraught 1
diversion 1
do 1
dog 5
done 2
door 3
dragon 2
dragons 1
drawn 1
due 1
dying 1
earlier 1
ears 1
effort 1
efforts 1
egg 1
eggshaped 2
empties 1
encounter 2
encountered 1
encountering 1
encouraged 1
ends 1
enough 1
ensue 1
entangled 1
enters 1
envisioned 1
escape 5
escaped 1
escapes 1
esteem 1
excavation 1
except 1
exception 1
expense 1
fail 1
fall 1
favor 1
fight 2
figures 1
filled 1
filtering 1
final 1
find 2
finding 3
finds 1
fire 3
fires 1
first 1
fished 1
five 2
fix 2
flames 1
flash 1
flee 1
flies 1
flightless 1
float 2
floatation 1
flowers 1
fly 2
follow 1
foot 1
for 5
forced 2
forcing 1
forge 1
form 2
former 1
forms 1
four 1
from 8
frustration 1
further 1
fusing 1
get 5
getting 2
ghostly 1
giant 2
give 1
gives 1
giving 1
glen 1
glue 1
go 1
goaded 1
golden 1
grandmother 1
greatest 1
green 1
ground 1
group 6
growing 1
guards 1
had 4
hammer 1
hand 2
happened 1
has 9
have 2
he 10
heard 1
hearing 2
hears 1
hearth 1
help 2
helped 1
helping 1
her 12
him 6
himself 4
his 11
hope 1
hot 2
house 2
however 3
human 1
humans 1
imbued 1
immersed 1
impervious 1
imprisons 1
in 32
indigo 9
informed 1
informing 1
inland 3
inside 2
instead 1
intentions 1
interrogation 1
interrupted 1
into 5
is 27
island 9
it 19
its 2
jars 5
joins 1
juice 1
jumps 1
just 1
keep 1
killed 1
killing 1
kindness 1
king 10
kingdom 2
kings 1
kit 2
lake 5
lamp 2
large 1
later 2
leads 1
leave 2
leaving 2
ledge 3
left 2
letting 1
life 1
light 1
living 2
longer 1
loose 1
lord 1
lose 1
lost 1
made 1
magic 2
magical 2
make 1
manage 2
manages 6
manner 1
mass 1
masterpiece 1
masters 3
means 3
men 1
mend 1
might 1
misinterprets 1
monkey 13
mountain 2
mountains 2
multiple 1
mysterious 7
name 1
nameless 8
nearly 1
needleweed 2
needs 1
net 1
next 1
night 2
no 2
none 1
not 4
notices 1
nullifies 1
object 1
odd 1
of 34
off 3
on 17
once 2
one 11
only 3
onto 3
opposite 1
or 2
order 1
other 1
others 1
otherwise 1
out 8
overpower 1
owner 1
paid 1
part 1
pass 1
past 1
patch 2
pearl 2
pebble 1
person 2
personal 1
place 1
plan 1
plans 1
plants 1
point 2
pomfret 3
possess 1
possessed 3
possible 1
power 2
powerful 1
presence 1
prevent 1
properties 1
prophecies 1
prophecy 1
proposes 1
prove 1
proves 4
pulled 1
punished 1
purpose 1
pursued 1
put 2
puts 1
quite 1
raft 2
rather 1
realize 1
realizes 4
recalls 1
recognition 1
recognizes 1
reeds 1
refuge 2
refused 1
refuses 1
relationship 1
release 1
released 1
remaining 1
renders 1
repairing 2
requires 1
rescued 1
restore 1
resulting 1
retreat 1
return 1
reunited 1
reveals 2
river 6
rope 1
runs 1
sambar 1
save 1
saw 1
sea 3
search 1
searches 1
secure 1
see 1
seek 1
seeking 2
seeming 1
selective 1
sense 1
serpent 1
set 2
several 1
she 8
shimmer 20
shore 1
showed 1
sight 1
silted 1
site 1
skin 3
skips 1
small 1
smaller 2
smith 7
snail 6
so 1
soldiers 3
some 1
soon 1
soul 4
sound 1
speed 1
spell 6
spirit 1
spying 1
steal 1
sticks 1
still 1
stolen 1
strained 1
strange 3
strong 1
struck 2
substance 1
succeed 1
succeeds 2
successful 1
sudden 1
suitable 1
summon 1
supply 1
surface 1
surplus 1
suspicious 1
sweeps 1
swim 1
switched 1
take 3
takes 3
terrible 1
tested 1
that 24
the 142
their 11
them 15
then 1
there 1
they 18
things 2
thorn 20
three 1
through 1
throws 1
tiara 3
ties 1
time 1
times 1
to 66
tomb 4
touched 1
transport 1
trapped 3
traveling 1
treasure 1
tree 1
trees 1
tricking 1
tries 1
triggered 1
true 2
try 5
trying 1
