19037260
/m/04jnk88
/m/04jnk88
Colin Dexter
1979-10-18
a 6
about 2
across 1
active 1
after 1
again 1
agreed 1
also 2
an 2
and 16
are 1
as 6
at 1
atop 1
attention 1
back 1
barbara 3
be 4
before 1
begins 1
being 1
bell 1
bodies 1
body 1
book 5
books 1
building 1
but 1
by 3
case 3
chance 1
characters 2
charge 2
church 4
closing 1
comes 2
committed 1
complete 1
confronts 1
court 2
crime 1
crimes 1
curious 1
dead 2
death 1
details 1
different 1
directly 2
divided 1
doesnt 1
down 1
each 3
eighteen 1
evidence 1
except 1
explains 2
fact 2
falls 1
father 1
feel 1
figures 1
finally 1
finds 1
first 4
flat 1
flu 1
follows 1
for 5
form 3
four 1
fourth 1
frideswide 1
from 2
furlough 1
gathering 1
given 1
goes 1
guesses 1
happens 1
hard 1
harry 9
hatred 1
he 8
help 1
her 2
hides 1
highlights 1
him 1
his 4
how 3
identify 1
implied 1
imprisonment 1
in 10
indirect 1
inspector 1
instincts 1
interest 1
into 1
investigation 1
involved 1
is 9
it 6
jealousy 1
josephs 9
know 1
last 1
lawson 7
lewis 3
light 1
lionel 5
lives 1
locates 1
mainly 1
man 1
men 1
mention 1
misidentify 1
money 1
months 1
morphine 1
morris 5
morse 10
mostly 2
motives 1
murder 2
murdered 3
murderer 2
never 1
next 1
notably 1
novel 1
of 15
off 1
official 1
on 2
opposite 1
other 1
out 2
paul 2
perjury 2
peter 2
philip 2
places 1
plot 2
poisoned 1
previously 1
proceedings 2
put 1
question 1
rawlinson 1
reading 1
reasons 1
references 1
rejects 1
relationship 1
release 1
revealed 1
reveals 1
role 1
romantic 1
ruth 6
scene 3
sees 1
self 1
sentenced 1
sets 1
several 2
she 4
shown 1
some 1
son 1
sparks 1
st 1
stabbed 1
start 1
statement 3
struggle 1
style 1
subsequent 1
subsequently 2
suggests 1
suicide 2
take 2
taken 1
takes 2
tears 1
that 6
the 45
then 2
theories 1
there 2
they 1
third 1
this 4
to 16
towards 1
tower 2
tramp 1
tries 1
true 1
two 1
up 4
usual 1
various 2
victim 2
visit 1
visits 1
was 8
watch 1
when 2
which 1
who 1
wife 1
with 4
witness 2
would 2
writing 1
wrong 1
