1681765
/m/05mzp5
/m/05mzp5
Anita Brookner
1984-09-06
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/05hgj": "Novel"}
a 7
aborted 1
acceding 1
advise 1
advised 1
affair 1
again 1
all 1
also 1
ambiguous 1
an 4
and 12
as 1
asks 1
at 4
atoning 1
attractive 1
banished 1
be 2
been 1
bewildered 1
bonneuil 1
breaks 1
but 1
by 1
came 1
chains 1
change 1
charms 1
comes 1
confer 1
confusion 1
considers 1
daughter 2
de 1
decides 1
demands 1
different 1
du 1
each 1
edith 4
english 1
events 1
examine 1
expected 1
expulsion 1
falls 1
finally 1
following 1
for 4
forcing 1
friends 2
from 2
geneva 1
go 1
grow 1
guests 1
hand 1
hands 1
has 1
have 1
he 1
her 17
him 1
hope 1
hotel 7
husband 1
identity 1
in 4
incident 1
including 1
incorrigible 1
into 1
is 5
jennifer 2
lac 1
lake 1
later 1
leads 1
life 4
live 1
lives 2
lonely 1
love 1
man 2
marriage 1
married 2
meets 1
middleaged 1
mistakes 1
mme 1
monica 1
mr 2
mrs 2
neville 2
not 1
novelist 1
oblivious 1
observations 1
observes 1
of 10
often 1
on 2
once 1
other 2
own 1
people 1
possibility 1
probation 1
pusey 2
questions 1
reaches 1
realises 1
realize 1
recognition 1
rejects 1
relationship 1
retreat 1
romantic 1
secret 1
she 9
shores 1
silent 1
smile 1
so 1
solitary 1
son 1
splendid 1
state 2
staying 1
swearing 1
take 1
the 13
their 1
there 2
they 1
things 1
this 1
to 11
tug 1
turn 1
ultimately 1
unfortunate 1
up 1
visitors 1
walks 1
what 2
when 1
where 1
who 5
with 3
woman 1
womaniser 1
would 1
