16252078
/m/03wf2fx
/m/03wf2fx
Sue Grafton
1992
6 1
a 19
about 1
acceptance 1
accident 1
acquittal 2
acquitted 1
actually 1
admits 1
advice 1
after 5
again 1
against 1
ago 1
agrees 1
alibi 3
along 1
also 2
alternative 1
an 7
and 18
andor 1
another 1
answer 1
anticipated 1
appears 1
appropriate 1
are 1
arranges 1
as 1
asking 1
asks 1
astonished 1
at 11
attack 1
attempt 1
attorney 1
aunt 1
author 1
away 2
back 1
backup 1
barney 12
barrel 1
be 1
been 3
beetle 1
beginning 1
begins 3
being 2
best 1
between 2
bird 1
blanks 1
bloom 1
both 2
brother 1
business 2
but 3
by 6
california 1
call 1
called 1
calls 1
can 1
case 3
castiron 1
casts 1
catandmouse 1
cell 1
chamber 1
charms 1
circle 1
civil 1
claims 1
come 1
comes 1
confess 1
confessed 1
confession 1
cop 1
corpse 1
could 1
couldnt 1
courtesy 1
courts 1
crucial 1
curtis 6
custody 1
date 1
daughter 2
david 2
dead 1
death 1
desperation 1
destroyed 1
didnt 1
died 1
dietz 1
do 1
dollar 1
done 1
door 2
doubt 1
doubtful 1
down 3
driver 1
drunk 1
drunken 1
during 1
ears 1
elder 1
elderly 1
else 1
emerges 1
end 1
entertaining 1
especially 1
establish 1
establishes 1
estranged 1
even 1
evening 1
eventually 1
evidence 2
exboyfriend 1
expense 1
extra 1
fans 1
fatal 1
father 1
favour 1
favourite 1
fidelity 1
files 1
fill 1
find 2
finds 3
fired 1
first 1
flash 1
for 10
former 1
fortune 1
forward 1
found 1
francesca 1
friend 1
from 2
front 2
further 1
g 1
gap 1
get 1
grafton 1
guilt 1
guilty 1
gumshoe 1
gun 2
guns 1
h 1
habitual 1
harassment 1
has 9
haunt 1
have 3
having 2
he 7
heart 1
help 1
henry 2
her 12
herself 1
him 3
his 11
hit 1
hitandrun 1
hitched 1
hole 1
home 2
homicide 1
hostage 1
housedesigner 1
hungarian 1
husband 1
hypochondriac 1
i 1
illnesses 1
imagined 1
immediate 1
in 17
inherited 1
injunction 1
innocent 1
insecure 1
inspiration 1
insurance 1
interrupted 1
is 11
isabelle 10
it 2
jailbird 1
jogging 1
jonah 1
just 3
ken 1
kenneth 2
killed 2
killing 2
kingman 1
kinsey 16
knocked 1
knocking 1
knowing 1
landlord 1
later 1
least 1
left 1
lethal 1
life 1
local 2
lonnie 4
looking 1
macintyre 1
made 2
make 1
man 1
marriage 1
matter 1
mckell 2
meanwhile 1
meet 1
mess 1
might 1
miles 2
mirror 1
missing 1
money 1
more 2
morley 4
mr 1
multimillion 1
murder 1
mushrooms 1
needs 1
netted 1
new 3
night 2
noah 1
not 1
novel 1
now 1
obvious 1
octegenarian 1
of 20
off 1
office 3
old 1
on 9
one 2
or 1
other 1
out 4
over 1
owns 1
panicstricken 1
parsons 1
particularly 1
partner 1
party 1
pastry 1
paying 1
perpetrator 1
peter 1
pi 1
pick 1
pickup 2
pitts 1
play 1
poisoned 1
possession 1
previous 3
prized 1
proprietress 1
prosecution 1
provide 1
question 1
real 1
realises 2
rebuild 1
recently 1
refuge 1
respective 1
rhe 1
robert 1
rolled 1
romance 1
rosie 2
roulette 1
run 1
russian 1
same 2
sceptical 1
secure 1
shared 1
she 9
shed 1
shelby 1
shine 1
shooting 1
shot 1
simone 1
since 1
sister 1
so 1
society 1
some 4
someone 1
sounds 2
space 1
split 1
sports 1
spy 1
statements 1
step 1
stick 1
story 2
sudden 1
sue 1
surprised 1
suspect 2
suspects 1
suspicions 1
swear 1
taken 2
talented 1
tavern 1
terrified 1
testimony 1
than 1
that 10
the 36
their 1
then 1
they 1
this 4
thought 1
through 1
time 4
tippy 5
to 18
track 1
tracks 1
train 1
truck 1
trying 2
unceremoniously 1
uncovers 1
unlikely 1
until 1
up 2
version 1
very 1
victim 2
victorious 1
visit 1
voigt 3
volkswagen 1
waiting 1
wants 1
was 9
way 1
weidmann 1
went 1
what 1
when 1
which 2
whilst 1
who 2
wife 3
william 3
with 10
witness 3
witnesses 1
worthless 1
would 1
years 2
yolanda 1
