21257320
/m/05b_mgz
/m/05b_mgz
Chris D'Lacey

{"/m/01hmnh": "Fantasy"}
1 1
2 1
50000 1
a 36
abilities 1
ability 1
about 5
absence 1
across 1
adopted 1
africa 3
after 3
agatha 4
alexa 7
all 8
almost 1
already 3
also 7
although 2
an 7
ancient 1
and 88
angel 1
any 1
anything 1
approached 1
arctic 2
are 9
armoir 1
arrive 2
arrives 4
arthur 4
article 2
as 9
ask 1
asking 1
asks 1
aspire 1
assembled 1
at 8
attack 2
attacked 2
attacks 1
attempt 2
attempting 1
attempts 1
attends 2
auma 5
awakening 1
baby 2
back 1
bacon 3
barrow 1
be 8
bears 1
been 5
before 5
began 1
begin 2
begins 2
being 2
bella 6
betrayed 1
betrays 1
between 1
birth 1
black 1
blood 1
body 3
book 1
born 1
both 1
bridge 1
bringing 2
burial 1
but 14
by 19
cairn 6
call 2
called 1
calls 1
came 1
can 6
captured 1
captures 1
care 2
cartwright 3
cartwrights 1
carvings 1
cat 4
caught 1
causes 1
chalk 1
chaos 2
charged 1
charging 1
check 1
child 2
children 1
chosen 1
claim 1
claims 1
climb 2
clive 2
coerce 1
collapses 1
colleague 1
colleagues 1
collection 1
comatose 1
combined 1
come 1
comes 1
communicate 1
concerned 1
contact 1
contacts 1
contains 2
continues 1
corrupted 1
could 1
create 1
crescent 4
cry 1
dancing 1
danger 1
dark 14
darkfire 1
darkling 4
darklings 3
daughters 2
david 35
day 1
dead 1
deal 1
decides 2
defeat 1
defend 1
deliver 1
den 2
describing 2
destroy 1
destroyed 1
destroying 2
destroys 4
dies 2
different 1
disappear 1
discover 4
discovers 1
disguised 1
dismisses 1
distracted 1
distracts 2
distress 1
do 3
does 1
done 1
dont 1
dragon 22
dragons 8
dragontongue 2
drags 1
draining 1
draw 1
draws 1
during 2
earlier 1
early 2
earth 1
eleven 2
email 1
emailed 1
emails 1
emerges 1
encountered 1
ends 1
enough 1
enters 1
entrusted 1
entrusting 1
eradicating 1
escape 1
eternal 3
evening 1
everything 1
everywhere 1
expected 1
expedition 1
explains 3
extinguishes 1
extra 1
extract 1
fact 2
fails 1
fain 2
falls 1
false 1
farlowe 1
farrell 1
fiancee 1
fight 3
find 1
finds 2
fire 23
flames 3
flock 2
follows 1
footage 1
for 8
force 1
forehead 1
former 1
found 1
four 1
freed 1
frees 1
friend 1
from 9
fulfill 1
full 2
funeral 2
gadzooks 6
gathers 1
gawain 4
gawaine 12
gawine 1
gee 6
get 2
ghislaine 1
gifts 1
girl 2
girls 1
give 1
gives 2
glacier 1
glade 5
glant 6
glissington 4
goes 3
gollygosh 2
goreal 3
grace 7
gravely 1
greeted 1
gretel 2
greth 1
grockle 6
ground 2
group 2
grown 1
groyne 4
guest 1
guesthouse 1
guinevere 2
gwendolen 1
gwilanna 8
gwilannagrows 1
gwillan 12
handing 1
hands 1
hannah 5
happen 1
harm 1
has 16
have 1
he 11
heal 1
healing 3
hella 1
help 7
helping 1
helps 1
henry 7
her 40
herself 4
hill 1
him 6
himself 1
his 4
home 4
horn 2
hospital 2
hotel 2
house 1
how 1
however 4
humans 1
hurry 1
icefire 1
ichor 1
if 1
illumining 1
implying 1
in 30
information 1
informing 1
informs 2
ingested 1
ingests 1
injured 3
injures 1
injury 1
instead 2
intercepted 1
into 8
invaded 1
invades 1
inverted 1
inverting 1
is 40
iscoscele 1
island 1
isoscele 2
it 26
its 3
itself 1
ix 9
joined 1
journal 1
kailar 1
kill 2
killed 1
kills 1
kimera 1
kin 1
knocked 1
know 1
knowledge 2
last 4
learns 1
leave 2
leaves 4
left 5
legend 2
lend 1
let 1
life 1
like 1
listen 1
liz 11
locked 1
long 1
longer 1
lucy 28
magic 1
maiden 1
make 1
mankind 1
marry 1
meanwhile 4
meet 2
meeting 1
melanie 3
memorabilia 2
mend 1
message 3
mind 1
mix 1
momentarily 1
monument 1
moods 1
moonlight 1
more 2
morning 1
mother 2
moved 1
moving 1
mrs 6
murdered 1
mutates 1
mutu 1
mysterious 1
name 1
narwhal 1
near 2
nearfatally 1
