4114043
/m/0bjv3_
/m/0bjv3_
Amelia Atwater-Rhodes

{"/m/039vk": "Gothic fiction", "/m/0kflf": "Vampire fiction", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
a 13
accepts 1
acton 1
adianna 4
after 2
against 2
ago 1
all 1
an 3
and 24
animals 1
another 1
appears 1
are 6
as 3
asks 1
associating 1
attack 1
attempt 1
attempts 4
attends 1
attention 1
attitude 2
authors 1
back 1
be 1
bear 1
because 2
begins 2
between 1
binds 1
blood 2
bloodbond 1
book 1
bound 1
brother 1
brothers 1
but 5
by 1
calls 1
cant 2
century 1
chance 1
christopher 10
christopheras 1
christophers 1
concord 1
control 1
daughter 1
debate 1
decides 3
defeat 1
discovers 1
domineering 1
dominique 1
done 1
dont 1
down 2
due 1
encounter 1
end 1
escape 1
event 1
eventually 1
everytime 1
feed 2
feeds 1
fight 2
fighting 1
finally 1
find 1
finds 3
follow 1
follows 1
for 5
forbidden 1
friendship 1
from 1
full 1
further 1
gains 1
garners 1
go 1
goodevil 1
have 1
he 5
help 1
her 23
herself 2
hesitates 1
him 1
his 2
hometown 1
hostage 1
however 1
humans 1
hunt 2
identity 3
if 1
in 7
include 1
injured 1
instead 1
intense 1
internal 1
into 3
invitation 1
is 5
isnt 1
it 2
kill 4
killed 1
killing 1
life 1
line 2
little 1
live 2
long 1
loses 1
love 1
loves 1
magic 1
manages 1
marks 1
massachusetts 1
may 1
mindset 1
more 1
mortal 1
most 1
mother 3
need 1
neighboring 1
nikolas 10
nissa 2
not 1
of 10
older 1
on 1
only 1
opportunity 1
oriented 1
overpower 1
overpowers 1
paradigm 1
party 2
people 1
powerful 1
powers 2
pride 1
pushes 1
ready 1
receives 1
refuses 1
rejects 1
rescue 1
resolves 1
rethink 1
reveal 1
revealing 1
sarah 20
sarahs 1
says 1
see 2
seriously 1
set 1
she 11
shows 2
sibling 1
sister 2
something 1
stands 1
stay 2
story 1
surrender 1
talk 1
tells 1
that 3
the 16
their 1
them 9
then 2
there 1
they 2
thinks 1
this 1
through 1
tie 1
tigress 1
to 30
towards 1
town 1
trail 1
traumatized 1
trial 1
true 1
turn 1
turns 1
twin 1
ultimately 1
unable 1
up 2
use 2
uses 1
vampire 4
vampirehunting 2
vampires 4
very 2
victim 1
vida 3
view 1
violations 1
wall 1
warnings 1
way 2
weaponswhich 1
well 1
what 1
when 3
which 2
who 2
whole 2
will 1
willing 1
witch 1
witches 3
with 9
without 1
world 2
yetshe 1
you 2
youngest 1
