165769
/m/0162_v
/m/0162_v
Pearl S. Buck
1930
{"/m/05hgj": "Novel"}
a 5
accept 2
after 2
already 1
america 2
american 1
an 4
and 10
apartment 1
arranged 1
asks 1
baby 1
back 3
be 1
been 1
betrothed 1
bond 1
born 1
brother 3
but 1
can 1
child 1
china 3
chinese 1
climax 1
convince 1
courts 2
cultures 1
dies 1
disinherited 1
do 1
doctor 1
does 2
duty 1
expected 1
expects 1
eyes 1
family 5
feet 1
few 1
first 1
for 3
friend 1
fulfilled 1
give 1
go 1
good 1
has 5
have 2
he 7
hearts 1
her 8
him 4
his 10
house 1
husband 1
if 2
in 6
interest 1
into 1
is 6
kweilan 6
leaves 1
live 2
living 1
marriage 1
married 1
marry 2
mary 3
medical 1
money 1
mother 1
near 1
not 6
older 1
parents 4
pregnant 1
pteast 1
put 1
refuses 1
returns 1
see 1
seem 1
selected 1
send 2
she 2
son 1
soon 1
states 1
take 1
tell 1
tells 1
that 2
the 4
their 1
then 2
they 4
ties 1
to 12
together 2
two 1
unbind 1
united 1
until 1
was 1
west 1
what 1
when 2
which 1
who 1
wife 2
will 2
wind 2
with 1
woman 2
write 1
years 1
