5044147
/m/0d08hg
/m/0d08hg
Ian Irvine
2003-09-29
a 4
aachan 1
aachim 5
abandoned 1
accuses 1
adoptedsister 1
after 1
aimlessly 1
already 1
amplimet 3
an 2
ancient 1
and 12
as 2
at 1
attempt 1
balloon 1
baloon 1
be 1
becomes 1
befitted 1
before 1
befriends 1
being 1
body 2
both 1
bounds 1
bring 1
but 3
by 6
captured 1
caused 1
city 1
clutches 1
created 1
crystal 1
culprit 1
dead 1
death 1
decides 1
deliver 1
desire 1
distressed 1
dying 1
echoes 2
escape 1
escapes 1
evaporated 1
eventually 1
fact 1
falls 1
finds 1
followed 1
for 2
forbidding 1
forces 1
from 4
gate 2
go 1
greatest 1
grief 1
haani 2
had 2
has 2
he 2
head 2
helps 1
her 11
heroine 1
herself 1
him 1
honour 1
however 1
humiliating 1
if 1
in 4
indeed 1
instructs 1
interrupted 1
invasion 2
is 7
it 2
killed 1
knowledge 1
later 1
leave 1
led 1
lies 1
long 1
madly 1
malien 3
manage 1
manufacturory 1
matah 6
minor 1
mirror 1
missing 1
name 1
near 1
nearly 1
nemesis 1
nervous 1
nish 8
not 1
of 15
off 1
old 1
on 1
only 2
originally 1
people 2
possible 1
powers 1
present 1
previous 1
realise 1
realises 1
recaptured 1
refloat 1
relate 1
release 1
repair 1
retrieve 2
reveals 1
room 1
santhenar 1
second 1
sent 1
she 8
shooter 1
side 1
sister 1
skeet 1
soon 1
speaks 1
states 1
still 1
story 1
strange 2
succeed 1
that 4
the 30
their 2
they 1
though 1
tiaan 9
time 2
times 1
tirthrax 4
to 13
treacherous 1
twice 1
ulii 1
ullii 2
unguarded 1
use 1
vithis 1
wanders 1
warn 1
was 1
well 2
were 1
what 1
which 2
who 2
with 1
withdrawal 1
witnessed 1
woman 2
word 1
young 1
