27981560
/m/0ch1rwn
/m/0ch1rwn
Nora Roberts
2003
a 14
about 1
abusive 1
acquaintances 1
affairs 1
affected 1
again 1
aid 1
aka 1
also 1
and 12
anyone 1
are 1
as 2
assembles 1
assigns 1
associates 1
at 2
audrey 1
baby 1
back 1
baxter 1
before 1
believe 1
bin 1
body 2
breaking 1
busy 1
by 2
call 1
called 1
calling 1
can 1
candid 1
capturing 1
cat 1
celebrating 1
charitable 1
clearly 1
contain 1
correctand 1
crack 1
crime 1
criminal 1
dallas 1
day 2
dead 2
death 1
decide 1
desiring 1
detective 1
determines 1
different 1
dochas 1
down 2
dublin 1
employee 1
ends 1
eve 12
events 1
eventually 1
evidence 1
explanations 1
falls 1
father 2
feelings 1
final 1
finally 2
find 1
first 2
follow 1
formal 1
found 1
frequents 1
from 1
funds 1
furst 1
gerald 1
gets 1
given 1
giving 1
going 1
gone 1
grew 1
had 1
he 6
head 1
help 1
her 4
him 6
his 9
however 1
hurries 1
image 1
images 1
in 4
included 1
including 1
indicating 1
informs 1
into 1
investigating 1
ireland 2
is 14
it 1
joins 1
kidnap 1
kidnapped 1
killed 1
killer 2
late 1
learns 2
leave 1
leg 1
live 1
location 1
lt 1
majordomo 1
meets 1
more 1
mother 4
mothera 1
nadine 2
new 2
next 1
nightmare 1
not 1
note 1
of 10
off 1
officer 1
on 1
one 1
out 1
over 2
pain 1
patrick 1
perpetrator 1
person 1
plainly 1
portrait 1
posed 1
pretty 1
probably 1
project 1
pub 1
recycle 1
rejoices 1
reluctant 1
report 1
rescuing 1
researches 1
roarke 9
same 1
scene 1
second 1
sent 1
set 1
setting 1
share 1
she 5
shelter 2
shortlytostart 1
show 2
sinead 1
sister 2
social 2
sociopath 1
some 1
stairs 1
steve 1
stevenson 3
story 1
strike 1
stuffed 1
summerset 2
survail 1
surviving 2
taking 1
talk 1
team 2
tend 1
than 1
that 11
the 26
they 2
third 1
this 1
through 1
time 2
tipped 1
to 22
together 1
traces 1
track 1
tried 1
trips 1
trueheart 3
turn 1
turns 1
twin 1
up 2
upset 1
used 1
usual 1
vacation 2
van 1
victim 4
victims 1
visits 1
was 2
when 4
where 2
while 2
who 3
with 4
woman 3
worker 2
york 1
young 1
