17222063
/m/043n9rl
/m/043n9rl
Jordan Sonnenblick

a 3
about 2
acting 1
albert 1
also 1
an 2
and 3
asks 1
at 2
avid 1
because 1
been 1
beginning 1
big 1
brother 3
came 1
cancer 4
concert 1
crush 1
died 1
discussing 1
drummer 1
during 1
ear 1
end 1
ends 1
everyone 1
finally 1
finds 2
for 1
friend 1
fundraiser 1
girl 1
go 1
grade 1
graduation 1
had 3
has 5
he 2
her 2
him 1
his 6
hospital 2
in 2
infection 1
it 1
jeffrey 3
later 1
leaves 1
little 1
met 1
missed 1
month 1
months 1
named 1
narrates 1
never 1
notice 1
novel 2
of 4
on 1
out 3
performance 1
previous 1
protagonist 1
renee 1
sam 1
school 1
september 1
she 1
since 1
sister 1
starts 1
steven 8
story 3
strangely 1
struggles 1
ten 1
that 2
the 13
third 1
to 4
towards 1
turns 1
who 1
with 2
