2730451
/m/07_jn4
/m/07_jn4
Jeffery Deaver
1998
5 1
a 5
again 1
ago 1
all 1
amelia 1
and 7
are 2
arms 1
as 3
be 1
been 1
behind 1
bomb 1
bombing 1
breaks 1
bureau 1
but 1
case 1
cat 1
closer 1
coffin 1
could 1
coverup 1
crime 2
current 1
dancer 3
desperate 1
dives 1
down 1
drops 1
ends 1
ever 1
every 1
evidence 2
federal 1
find 1
finding 2
finished 1
first 2
game 1
get 1
has 2
he 4
head 1
hell 1
hired 2
his 2
hitman 1
hope 1
hopes 1
in 3
interested 1
into 1
investigators 1
is 3
it 3
just 3
keep 1
key 1
kill 1
killer 2
killing 1
last 1
legs 1
lincoln 1
lives 1
loose 1
man 1
many 1
more 1
mouse 1
of 2
off 2
on 1
one 1
outsmarts 1
pile 1
pin 1
plane 1
play 1
police 1
rhyme 2
sachs 1
safe 1
save 1
scene 1
scenes 1
seems 1
sent 1
shred 1
so 1
speak 1
still 1
struck 2
techs 1
that 1
the 13
their 1
them 1
then 2
there 1
they 3
this 2
three 1
time 1
to 9
two 3
up 1
was 1
wastebasket 1
well 1
who 1
with 1
witnessed 1
witnesses 1
worked 1
years 1
