8543444
/m/02778k9
/m/02778k9
Tracy Hickman
1991
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 15
abarrach 7
abilities 1
able 1
acquaintance 1
admit 1
again 1
aid 1
alarm 1
alfred 12
alive 2
all 7
ambushed 1
an 2
ancestor 1
ancient 1
and 45
anger 1
another 1
anything 1
appalled 1
apparently 1
are 5
arianus 1
army 1
around 2
arrives 1
art 1
as 6
at 5
atmosphere 1
away 1
baltazar 2
band 1
bastardized 1
be 4
because 1
becomes 2
been 2
before 3
begins 1
being 1
better 1
between 1
beyond 1
bible 1
bodies 1
body 1
bolster 1
bound 1
boy 1
breaking 1
breathable 1
brings 1
but 5
by 6
called 2
calling 1
can 3
capital 1
case 1
caught 1
chamber 4
chance 1
chief 1
city 3
clear 1
clearly 1
closely 1
colossi 2
consciousnesses 1
consumed 1
corpse 1
corpses 1
culminating 1
curious 1
customary 1
damned 1
days 1
dead 6
death 4
demonstrates 1
depart 1
died 2
dies 1
difficult 1
discovers 1
do 1
doing 1
doors 1
down 1
driven 1
during 1
dynast 1
each 5
edmund 6
end 1
endless 1
enter 1
entire 1
entirely 2
escape 2
even 4
evenly 1
evocative 1
executed 1
existed 1
existence 1
eyes 1
failing 1
far 1
fault 1
fear 1
feels 1
find 2
flee 2
food 1
for 4
forbidden 1
forced 3
forces 1
forgotten 1
free 2
from 2
full 1
fumes 1
gate 1
gathered 1
gathers 1
giant 1
gives 1
greener 1
grown 1
had 1
hand 2
hands 1
haplo 15
has 3
hatred 1
haul 1
have 4
he 12
heavily 1
her 4
here 3
higher 1
highly 1
him 1
himself 1
his 11
hisher 1
horrified 1
how 1
however 1
hungry 1
if 1
images 1
immediately 1
implied 1
imprisons 1
impulses 1
in 13
infiltrated 1
initially 1
innate 1
intelligence 1
into 1
is 22
it 7
its 2
jera 7
jonathan 5
jump 1
just 2
kairn 1
keeping 1
kill 1
killed 4
kleitus 6
knows 2
laden 1
lava 1
lazar 6
lazarus 1
leading 1
left 2
leisure 1
let 1
life 2
little 1
living 3
long 2
look 1
lord 1
love 1
magic 2
magics 1
make 2
man 1
manage 1
many 2
married 1
mdash 2
meet 3
memories 1
mensch 1
middle 1
minor 1
moment 1
more 1
most 3
much 1
murdered 1
natives 1
nearly 1
necromancer 1
necromancers 1
necromancy 3
necropolis 1
necros 1
never 2
new 2
nexus 2
nobles 1
not 3
nothing 1
now 1
numbers 1
odd 1
of 25
on 8
once 1
one 2
ones 1
only 4
or 2
orders 1
other 7
out 2
outskirts 1
overjoyed 1
painful 1
parents 1
passes 1
pastures 1
peaceful 1
people 4
peoples 1
perimeter 1
personality 1
pillars 1
pleasant 1
poisonous 1
poisons 1
population 1
power 2
powers 1
practice 1
precious 1
presence 1
prince 2
provide 1
quite 1
ragged 1
raising 1
reach 1
realm 1
reanimate 1
reanimated 1
reason 1
rebels 1
reduced 1
reference 1
regard 1
relive 1
rely 1
remaining 2
remains 1
resist 1
resurrected 1
retains 1
returns 1
revived 2
revives 1
run 1
runeinscribed 1
runelanguage 1
runemagic 1
runes 2
sacrifices 1
same 1
sartan 7
scene 1
sealed 1
secrets 1
seeing 1
seems 1
sent 1
series 1
seven 2
she 1
ship 4
shoes 1
simplest 1
simply 1
skeletal 1
slaughter 1
slaughtered 1
slowly 1
smart 1
so 3
soldiers 2
somehow 1
soul 2
spaced 1
spells 1
spoken 1
spot 1
stasis 1
state 1
still 2
stone 3
stop 1
stowed 1
struck 1
studied 1
surrender 1
switch 1
table 1
taken 1
taught 2
than 1
that 12
the 56
their 4
them 3
themselves 1
these 1
they 6
theyre 1
things 1
this 2
though 3
three 1
through 2
to 27
too 2
torment 1
true 1
trying 1
turned 1
two 2
undamaged 1
unseen 1
untimely 2
up 2
very 3
vessel 1
view 1
violence 1
waiting 1
waking 1
walk 1
want 1
warded 1
warmth 1
was 1
well 1
were 2
what 1
when 3
while 1
whim 1
white 1
who 4
whose 1
wife 1
will 3
with 9
without 1
wooden 1
world 2
worlds 2
xiv 1
years 1
