6091305
/m/0fpp9r
/m/0fpp9r
Anne Eliza Smith

{"/m/01hmnh": "Fantasy"}
a 5
accidentally 1
adopted 1
after 1
alongside 1
among 1
and 4
are 2
art 1
as 3
astera 1
atla 2
atlan 1
atlantean 1
atlanteans 1
atlantic 1
atlantis 2
baby 1
because 1
become 1
bodies 1
by 5
called 1
chance 1
child 1
civilization 1
colored 1
come 1
comes 1
compass 2
complexion 1
dark 1
daughter 1
discover 1
discovered 1
east 1
empire 2
enabled 1
esatla 1
fact 1
fair 1
first 2
fleet 2
foreign 1
foreigners 1
found 2
from 2
girl 1
girls 1
grow 1
guides 1
guiding 1
he 1
heavenly 1
her 1
herekla 2
in 4
infant 1
inhabitants 2
interested 1
inventor 1
is 8
island 1
king 3
known 1
leader 1
learned 1
mastering 1
maturity 1
melek 1
names 1
near 1
new 2
not 1
ocean 1
of 15
one 1
only 1
people 3
phoenician 2
phoenicians 3
populace 1
possess 1
raised 1
reach 1
real 1
rescued 1
sailing 2
secret 3
ships 1
shipwreck 2
shores 2
somewhere 1
son 1
stars 1
survivor 1
the 35
them 1
they 2
this 1
to 4
tsinim 2
tyrian 1
uncommon 1
up 1
upon 1
using 1
visited 1
was 1
were 2
west 3
which 2
white 1
who 2
without 2
