1019550
/m/03zvmd
/m/03zvmd
Larry McMurtry
1997
{"/m/0hfjk": "Western", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 11
able 1
accompanied 1
acknowledge 1
acquires 1
after 2
again 1
ahumado 7
allen 1
allow 1
allows 1
alone 1
and 25
another 1
are 4
army 1
as 5
at 3
attack 1
austin 6
away 2
back 3
band 2
bandit 1
bandits 1
banishes 1
be 2
because 1
becomes 2
been 2
behind 1
being 1
believe 1
beloved 1
bill 3
birds 3
birth 1
bitten 1
blinders 1
blue 5
bob 1
bold 1
bonds 1
brown 1
buffalo 3
burn 1
but 4
by 7
cage 2
call 9
captain 3
captains 1
capture 1
captured 1
cattle 3
cattleman 1
celebrated 1
charge 1
chief 1
child 2
chosen 1
civil 2
clara 2
cliff 1
coleman 1
collect 1
comanche 3
comanches 2
companion 1
covering 1
cut 1
cuts 1
cutthroats 1
death 2
devised 1
die 3
dies 1
dove 2
down 1
dragged 2
duck 5
east 1
elisha 1
emotionally 1
enabling 1
enough 1
escaping 1
estacado 1
evades 1
even 1
exchange 1
expedition 1
eyelids 1
eyepieces 1
famous 2
father 2
feared 1
fellow 1
find 1
finds 2
foot 1
for 3
forsythe 1
from 1
frontier 1
gang 1
gather 1
general 2
give 1
gives 1
giving 1
go 1
goes 3
going 1
gone 1
governor 3
goyeto 1
had 1
halfmexican 1
handles 1
hangs 1
has 5
having 3
he 6
hear 1
hears 1
hector 1
henchman 1
her 1
herd 1
hides 1
highlights 1
him 2
himself 2
his 17
horrible 1
horse 5
hump 3
impose 1
in 7
indian 1
inez 1
inflicts 1
inish 1
insane 1
insistent 1
instructing 1
intends 2
is 6
it 1
jake 1
kickapoo 1
kicking 6
killing 1
kills 1
king 2
known 1
later 1
lead 1
leader 1
leadership 1
leading 1
leads 1
learns 2
leaves 1
leaving 1
led 1
left 1
less 1
let 1
llano 1
lonesome 2
long 3
lover 1
maggie 4
married 1
marry 1
mccrae 7
meanwhile 2
mexican 1
mission 1
more 2
most 1
mostly 1
moves 2
much 1
nation 1
newt 1
not 2
notice 1
notoriety 1
notorious 1
novel 1
of 17
off 4
on 6
once 1
one 1
only 1
or 1
out 3
own 1
parents 1
pearl 2
pease 3
perdida 1
period 1
persuade 1
pit 1
place 1
placed 1
point 1
pregnant 1
prepared 1
prisoner 1
promiscuous 1
promoting 1
prompted 1
pursue 1
pursuit 2
push 1
quickly 1
raid 1
ranger 3
rangers 6
ransom 1
ravaging 1
realizing 1
recluse 1
recover 2
refuses 1
reluctant 1
renegades 1
rescue 3
rest 1
return 2
returned 1
returns 1
rival 1
scull 16
search 1
sell 1
sends 4
sent 1
sequel 1
set 1
sets 1
settlers 1
she 2
shoes 1
sierra 1
slow 1
slowly 1
small 2
smokehouse 1
so 1
soldiers 1
son 2
soon 3
south 1
spider 1
spoon 1
steals 1
store 1
supposed 1
survive 1
taken 1
takes 3
terms 1
texas 2
that 5
the 40
their 2
them 2
there 2
they 4
thief 1
this 5
though 1
thousand 1
three 3
throws 1
thus 1
ties 1
tilton 1
to 36
tortures 1
tracker 1
trader 1
tribe 1
troop 4
try 1
turn 1
typically 1
unable 1
unconscious 1
under 2
union 1
up 2
upon 1
victims 1
war 2
warpath 1
wealth 1
well 1
where 1
which 1
while 2
white 1
whore 1
wife 3
will 2
with 3
wolf 6
word 1
work 1
yet 1
