18758099
/m/04gp3zd
/m/04gp3zd
Anthony Trollope


113 1
250lb 1
a 10
abilities 1
able 1
about 2
abraham 1
accepts 1
accordingly 1
affairs 1
against 1
age 2
ago 1
all 2
also 2
although 1
an 1
and 19
annals 1
another 1
any 2
approaching 1
are 1
arguments 1
armed 1
arrival 1
arrived 1
as 14
be 3
becomes 1
been 1
before 1
believing 1
best 1
book 1
born 2
both 1
britain 1
britannula 5
british 1
building 1
but 2
by 3
capable 1
carriage 1
citizen 2
citizens 1
city 1
civilisation 1
claiming 1
college 1
come 1
commits 1
compel 1
considers 2
country 1
crasweller 9
daughter 1
dawned 1
day 4
days 1
decades 1
departure 1
deposited 1
deposition 3
despite 1
destroy 1
deteriorate 1
dimensions 1
does 2
down 2
during 1
duty 1
earning 1
elderly 1
emigrated 1
engaged 1
england 2
english 1
enormous 2
ensure 1
envisaging 1
eva 1
eventually 2
ever 1
excuses 1
execution 1
fact 1
fate 1
favour 1
finally 1
finds 2
finishing 1
first 2
fixed 2
for 2
forced 1
forces 1
fortune 1
forward 1
friend 3
from 1
gabriel 1
gladstonopolis 1
go 2
going 1
governor 1
gradually 1
great 2
group 1
grundle 2
gun 1
has 4
have 4
he 14
healthy 1
held 1
him 1
his 17
history 2
honour 1
hopes 1
how 1
however 3
idea 1
in 13
included 1
individuals 1
inherit 1
installed 1
instrumental 1
introduced 1
is 12
it 5
jack 1
john 2
junior 1
kinds 1
know 1
landowner 1
later 1
law 3
lawabiding 1
living 1
long 2
lying 1
made 1
man 2
managing 1
mankind 2
measures 1
men 2
mental 1
merchantfarmer 1
more 3
move 1
must 1
name 1
necessary 1
neverbend 9
new 2
no 1
not 4
now 1
of 24
old 2
oldest 1
on 4
one 4
only 2
oppose 1
or 2
originator 1
other 1
out 1
own 2
paper 1
passage 1
passed 1
pensive 1
perfection 1
period 2
place 1
planning 1
plans 2
point 1
possible 1
preach 1
president 3
progress 1
realises 1
realizes 2
really 1
reannexed 1
recent 1
reformers 1
release 1
republic 1
respect 1
return 3
sarah 1
senators 1
serving 1
setback 1
shocked 1
show 1
signs 1
similarminded 1
since 1
smooth 1
son 1
soon 2
started 1
starts 1
state 1
step 3
stoically 1
store 1
streets 1
successful 1
sudden 1
supporter 1
swivel 1
taken 1
ten 1
term 1
than 1
that 11
the 29
their 2
them 2
theoretical 1
they 2
this 2
threatening 1
to 22
towards 1
transport 1
treated 1
triumph 1
turn 1
two 2
unfortunate 1
up 2
various 1
very 1
vigorous 1
voted 1
wants 1
warship 1
was 4
way 1
well 1
what 1
when 3
whereas 1
whether 2
which 3
who 3
whole 1
wife 1
will 4
with 4
write 1
year 1
years 1
yields 1
young 2
zealand 1
