4059699
/m/0bg0j2
/m/0bg0j2
Jean Webster

{"/m/03mfnf": "Young adult literature"}
18 1
a 8
abbott 1
address 1
after 1
age 1
allowance 1
also 2
an 2
and 10
are 2
as 1
assumed 1
asylum 3
at 6
attends 1
back 1
basic 1
be 1
because 2
become 1
believes 1
benefactor 1
bleak 1
book 3
brought 2
but 1
by 3
calls 1
castoff 1
catches 1
certainly 1
change 1
charity 1
childlike 1
children 1
chronicles 1
clothes 1
coast 1
college 4
created 1
cultural 1
daddylonglegs 2
dates 1
day 1
dependent 1
designs 1
development 1
does 1
dormitories 1
dour 1
drawings 1
east 1
education 1
educational 1
end 1
ends 1
environment 1
excellent 1
exposed 1
finished 1
first 2
for 1
former 1
frequently 1
from 2
gain 1
generous 1
girls 1
give 1
glimpse 1
gravestone 1
grier 1
growing 1
growth 1
had 1
has 4
hates 1
have 1
he 5
her 10
herself 1
him 2
his 1
home 1
however 1
identified 1
identity 2
illustrates 1
important 1
in 2
informed 1
instead 1
institution 1
is 7
it 3
jean 1
jerusha 4
john 2
jokingly 1
judy 4
know 1
knowledge 1
knows 1
letter 1
letters 2
letterwriting 1
line 1
location 1
longlegged 1
loose 1
made 1
man 1
matron 2
men 1
mentioned 1
might 1
monthly 3
mr 1
must 2
name 3
never 4
of 12
off 1
offered 1
oldfashioned 1
on 2
one 4
orphan 1
orphanage 1
other 1
out 1
pay 2
people 1
personal 1
phone 1
potential 1
princeton 1
program 1
reading 1
reply 1
revealed 1
rigorous 1
selected 2
seven 1
shadow 1
she 12
sisters 1
smith 1
so 1
social 1
spoken 1
still 1
struggles 1
surname 1
tall 1
teachers 1
that 3
the 25
their 1
things 1
thinks 1
this 1
through 1
to 10
trustees 2
tuition 1
university 1
unusual 1
up 3
uses 1
visit 1
was 6
way 1
wear 1
webster 1
were 1
where 1
which 1
while 1
wholly 1
will 3
with 1
working 1
write 1
writer 2
