15708246
/m/03x_pc3
/m/03x_pc3
Edmund Crispin

{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 15
about 1
above 1
acknowledging 1
affair 1
affairs 1
ago 1
alibi 1
alike 1
alive 1
all 2
alleged 1
also 1
although 1
among 2
an 4
and 17
appears 1
approaching 1
are 7
arrest 1
arriving 1
as 4
assembled 1
assume 1
at 6
barclay 2
be 2
beauty 1
become 1
before 2
beginning 1
believe 1
blake 1
body 1
brief 1
brought 1
but 1
by 1
cast 1
chance 1
choirmaster 1
chosen 1
circle 1
club 1
clues 1
colleague 1
college 1
commit 1
completely 1
condescending 1
corridor 1
course 1
crowd 1
curtain 1
death 3
deed 1
desperately 1
difficulty 1
discarded 1
disclosed 1
discover 1
discussing 1
dislike 1
do 1
donald 2
downstairs 1
dropout 1
drunk 1
end 1
ended 1
enemies 1
escape 1
evening 1
exactly 1
expressed 1
fact 1
fancies 1
fast 1
fellowes 4
female 1
fen 4
few 2
first 1
five 1
floor 1
following 1
for 3
former 1
from 1
gained 1
gervase 1
get 1
glad 1
going 1
good 1
group 1
had 1
halfsibling 1
hand 1
has 5
haskell 3
have 2
he 3
hear 1
helen 2
her 7
herself 1
him 1
his 4
host 1
hours 1
however 1
identity 1
in 10
inability 1
independent 1
inner 1
inside 1
intense 1
is 9
it 2
jealous 1
jean 1
journalist 1
just 1
killer 1
knows 1
lead 1
least 1
life 1
lifestyle 1
listening 1
london 1
love 1
lovers 1
many 1
means 1
meet 1
members 1
men 1
metromania 1
midtwenties 1
military 2
mistress 1
more 2
motive 1
motley 1
mourns 1
murder 2
murderer 1
new 2
nicholas 2
nigel 1
no 1
not 2
now 1
numerous 1
october 1
of 22
officer 1
on 5
one 5
only 1
opening 1
opera 1
or 1
organist 1
other 2
over 1
oxford 3
party 1
people 1
perpetrator 1
plain 1
play 2
playwright 1
playwriting 1
police 2
premire 1
present 1
pretends 1
promiscuous 1
prompted 1
prone 1
quiet 1
quite 1
rachel 1
radio 1
rather 2
realize 1
rehearsals 2
reluctance 1
repertory 1
reveal 1
revolver 1
rid 1
right 1
rivals 1
robert 4
room 1
rooms 2
rush 1
same 1
search 1
searching 1
second 1
secretary 1
secretly 1
sexual 1
sexually 1
she 4
shot 2
show 2
sistersmdashyseut 1
so 1
some 2
star 1
start 1
starts 1
stationed 1
still 1
student 2
subsequent 1
suicide 1
suspects 1
than 2
that 4
the 40
theatre 4
their 2
there 1
they 4
this 1
those 1
threatening 1
thrown 1
time 1
to 11
treating 1
triggered 1
two 1
unattractive 1
understudy 1
university 1
upandcoming 1
venue 1
very 1
violent 2
waiting 1
want 1
warner 5
was 3
way 1
weapon 1
west 2
what 1
when 2
which 2
while 4
whitelegge 1
who 7
wings 1
with 6
works 2
year 1
years 1
young 1
younger 1
yseut 7
