1129268
/m/048sxp
/m/048sxp
David Lodge
1980
150s 1
168 1
170s 1
a 5
about 1
abrupt 1
adultery 1
against 1
all 1
also 1
and 3
are 1
as 1
at 1
before 1
book 1
brought 1
but 1
by 1
catholic 1
catholics 1
changes 2
characters 1
church 2
college 1
confronted 1
contraception 2
council 1
deals 1
disorientation 1
early 1
encyclical 1
english 1
experiences 1
face 1
far 1
few 1
from 1
go 1
grief 1
group 1
hand 1
how 1
humanae 1
illness 1
important 1
in 4
including 1
intersecting 1
is 2
issues 1
it 1
late 1
lives 1
london 1
marriage 2
meaning 1
member 1
most 1
of 7
on 1
one 1
only 1
other 1
ought 1
papal 1
question 1
range 1
reference 1
second 1
sex 1
students 1
the 15
their 1
title 1
to 4
twofold 1
university 1
up 1
vatican 1
vitae 1
wide 1
with 3
within 1
years 2
you 1
