3083277
/m/08q6kc
/m/08q6kc
Jerry Spinelli
2000-08-08
120s 1
a 30
abandons 1
about 2
above 1
accepted 2
accustomed 1
achieve 1
achieved 1
act 2
action 1
acts 1
advising 1
after 5
against 2
age 1
airs 1
all 3
always 1
american 1
an 6
and 38
anger 2
angerfilled 1
angers 2
ankle 1
anonymous 1
another 1
antics 1
anyone 1
anything 1
appalled 1
appearance 2
applauding 1
archie 1
are 3
area 2
arizona 2
around 1
arrival 1
arrives 1
as 11
ask 1
asks 3
at 9
attack 1
attempt 1
attendance 1
attends 1
audience 1
away 1
back 1
ball 2
band 1
basket 1
basketball 4
be 1
beautifully 1
beauty 1
because 1
become 3
becomes 4
before 5
begin 3
beginning 1
begins 3
behavior 5
behind 1
being 3
believe 1
best 3
bike 2
birthday 4
bitterly 1
blaming 1
body 3
booms 1
born 1
both 1
breaks 1
brief 1
brings 1
buckskin 1
bunny 1
but 4
by 10
called 1
caraway 1
cards 1
causes 1
celebrate 1
change 2
changes 1
cheek 1
cheer 2
cheering 1
cheerleader 1
cheerleading 1
cheers 1
chronicles 1
class 1
classmate 1
classmates 1
clothes 1
clothing 2
club 1
collect 1
collection 1
come 1
comes 1
comforting 1
company 1
competition 3
conflict 1
conformity 2
confronts 1
confused 1
connect 1
contained 1
continue 1
continues 1
control 1
controversy 1
couple 1
court 1
covered 1
creative 1
cute 1
cuts 1
daisy 1
dance 2
dancers 1
dances 1
day 4
days 1
decides 2
declares 2
decorates 1
defeat 2
demands 1
demeanor 1
desert 1
designer 1
desk 1
desperation 1
despite 1
did 1
dilson 1
director 1
disappearslater 1
disappointed 1
dismay 1
distance 1
dj 1
does 2
doesnt 3
doorstep 1
dori 1
downfall 2
dressed 1
dropping 1
drops 1
during 3
each 2
earlobe 1
earth 1
eccentric 2
eccentricities 1
efforts 1
else 2
embarrass 2
ends 2
enjoy 2
entire 2
even 1
events 4
eventually 2
every 2
everyone 1
everything 1
except 1
exhibited 1
face 2
faces 1
fails 1
farewell 1
feature 1
feelings 1
feels 1
fellow 1
few 2
fifteen 1
figures 1
finds 1
first 3
fit 1
flapper 1
follow 1
football 1
for 16
four 2
friend 3
from 5
front 1
fun 1
funerals 1
game 2
games 2
gave 1
get 1
giftwrapped 1
girl 2
given 1
gives 1
go 2
goes 1
graduating 1
had 3
happy 1
has 2
have 2
he 8
help 2
helps 1
her 32
heros 1
high 3
hillari 9
him 5
himself 2
his 17
history 1
hits 1
home 1
homecoming 1
hop 2
hope 1
hot 3
hour 1
hours 1
house 1
however 2
humiliating 1
i 1
illogically 1
impresses 1
in 18
individuality 1
infatuated 2
innocently 1
inspiring 1
into 1
introduction 1
invites 1
is 16
it 7
join 1
joins 1
jury 2
keeps 2
kevin 2
kids 1
kimble 4
kimonos 1
kindness 1
kiss 2
kissing 1
know 2
later 1
leads 3
leaving 1
left 2
leo 18
leos 1
life 1
like 3
line 1
lose 1
loss 1
lunch 2
mahs 3
mail 1
make 2
makeup 1
mallory 1
marching 1
members 1
merely 1
met 1
mica 2
mimic 1
more 1
most 1
move 1
moved 1
moving 1
much 1
mysterious 1
name 2
native 1
necktie 4
never 2
new 1
next 2
nice 1
no 2
normal 2
not 8
nothing 1
novel 1
nowhere 1
observing 1
obsessed 1
obvious 1
ocotillo 1
of 15
on 12
once 1
one 7
only 8
onto 1
opposing 1
other 4
out 4
outburst 1
over 1
overflowing 1
own 1
package 1
parr 1
participating 2
peers 1
pennsylvania 1
people 4
peoples 1
per 1
performs 1
period 1
permanent 1
person 2
personality 1
pete 1
picks 1
pioneer 1
place 1
placed 1
plan 1
play 1
player 1
playoffs 1
pleas 1
polite 1
popular 4
popularity 4
porcupine 4
present 1
privately 1
prizes 1
production 1
progresses 1
promiseshe 1
public 1
put 1
puzzles 1
questions 2
quickly 1
rain 1
real 1
realizes 2
realizing 1
receive 1
receives 1
receiving 1
refuses 1
regains 1
relationship 1
remaining 1
responds 2
return 1
returns 3
revealed 1
revolution 1
ripe 1
romance 1
ruins 1
run 1
saint 1
same 1
saying 1
says 1
school 16
schools 2
scored 1
season 2
seasonending 1
seat 3
see 1
seems 2
seen 1
self 1
semifinals 1
set 1
she 29
short 1
shortly 1
show 5
shunned 1
shunning 2
shy 1
sidewalk 2
sing 2
single 1
sings 2
sit 1
slaps 1
slowly 2
so 3
soars 1
some 1
someone 1
soon 1
sour 1
sparks 1
speaking 1
spectator 1
sporting 1
sports 1
spot 1
squad 2
squirm 1
stargirl 32
stargirls 2
starts 2
state 2
stay 1
still 1
stillwell 1
story 3
strums 1
student 7
students 7
such 1
suddenly 1
suffers 1
sunflowers 2
susan 4
table 1
tablecloth 1
takes 2
taking 1
teacher 1
team 2
teams 3
teen 1
television 2
telling 1
tells 1
tennis 1
that 13
the 88
their 3
them 3
then 1
there 1
they 5
things 1
thinking 1
this 7
though 4
three 1
time 1
to 40
tomato 1
tough 1
true 1
trying 1
turn 1
tweaking 1
twelve 1
ukulele 2
ultimate 1
uncle 1
unconventional 1
undefeated 1
unfortunately 1
unknown 1
unlike 1
until 2
unusual 2
up 2
upon 1
valiant 1
vase 1
victory 1
walks 1
want 1
wanting 1
was 5
watches 1
way 2
wayne 1
wears 1
welcome 1
well 1
what 1
when 8
where 3
which 2
while 1
who 1
why 1
will 1
winning 2
with 20
working 1
years 3
yet 1
