4817681
/m/0cphtj
/m/0cphtj
James White

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 8
able 1
accident 1
accustomed 1
aliens 1
alive 1
ambulance 1
amount 1
an 3
and 4
angry 1
appointment 1
are 4
around 1
assignment 1
at 1
attitudes 1
back 1
bad 1
bay 1
be 2
better 1
blue 1
board 1
books 1
but 3
by 3
cannibal 1
capturing 1
cargo 1
caused 1
causes 1
cha 1
chaldars 1
challenge 1
chaos 1
charging 1
chasing 1
chef 1
code 1
commune 1
complain 1
completely 1
cook 2
creates 1
creating 1
crocodilelike 1
delighted 1
desirable 1
destroy 1
develops 1
diet 1
different 1
diplomats 1
doing 1
dwindling 1
emergency 1
epidemic 1
everyone 1
everywhere 1
expedition 1
expelling 1
famous 1
finally 1
finds 1
first 2
flavor 1
food 6
foolishly 1
for 5
found 1
gamehunting 1
general 1
goes 1
grows 1
he 9
healer 1
healing 1
helps 1
hide 1
him 4
himself 1
his 1
home 1
hospital 2
hudlar 2
huge 1
improve 1
in 3
into 1
investigations 1
is 7
it 4
its 1
lack 1
learns 1
like 1
live 1
major 1
many 1
meantime 1
meat 1
medical 1
meets 1
more 1
motile 1
mystifying 1
naturally 1
needs 1
next 1
nourish 1
nutmeg 1
of 1
on 4
only 1
out 1
overdose 1
people 1
planet 2
populace 1
positive 1
produce 1
realising 1
recall 1
recipe 1
required 1
rescues 1
rhabwar 2
riding 1
sad 1
sector 1
sent 1
set 1
shamed 1
ship 3
show 1
small 1
so 1
some 1
sommaradvan 1
son 1
souschef 1
space 1
species 1
sprayers 1
sprayon 1
staffers 1
starving 1
station 1
supply 1
swimming 1
sympathetic 1
takes 1
team 1
ten 1
than 1
that 4
the 18
their 7
them 1
they 4
think 1
thrat 1
times 1
to 10
toward 1
toxins 1
tradition 1
turns 1
uninteresting 1
unsatisfying 1
upcoming 1
used 1
using 1
vegetarian 1
very 1
visits 1
wangles 1
ward 1
ways 1
which 1
who 1
whose 1
with 1
would 1
wounded 1
