6211772
/m/0fx0l4
/m/0fx0l4
Marin Preda

150s 1
a 13
accommodates 1
accused 1
after 2
all 1
and 11
arrested 1
as 2
at 1
attack 1
attraction 1
authorities 1
back 1
becomes 1
best 1
between 1
birth 1
bookkeeper 1
brutal 1
by 3
cable 1
carpathians 1
cel 1
character 1
company 1
confession 1
confinement 1
constitutes 1
controller 1
crime 1
daughter 1
despite 1
divorced 1
during 1
employment 1
end 1
engaged 1
epic 1
espionage 1
even 1
eventually 2
exhausted 1
exhusband 1
existence 1
falls 1
few 1
first 1
firstperson 1
for 1
forced 1
forsaken 1
friend 1
from 3
gets 1
gulag 1
hardens 1
has 2
he 7
hidden 1
him 1
his 8
ideals 1
in 10
intellectual 1
is 5
iubit 1
jail 1
job 1
kill 1
killing 1
kills 1
labor 1
later 1
lead 1
lecturer 1
lifestory 1
long 1
love 1
mai 1
manages 2
matilda 1
meets 1
mine 1
new 1
nonetheless 1
northern 1
obtain 1
of 5
on 1
once 1
one 1
order 1
out 1
pest 1
petrini 2
philosophy 1
police 1
prison 1
prisoner 1
projects 1
proletarian 1
promising 1
railway 1
rats 1
reeducation 1
released 1
repressive 1
return 1
romanian 1
secret 1
securitate 1
seduces 1
selfdefence 1
sentenced 1
severalyearlong 1
sexual 1
shortly 2
start 1
stateowned 1
suburban 1
successfully 1
survive 1
suzy 2
the 12
their 2
them 1
then 1
throwing 1
to 9
torturers 1
trial 1
verdict 1
version 1
victor 2
waiting 1
wedding 1
where 1
which 1
who 1
whom 1
wife 3
with 1
written 1
wrongly 1
years 1
zero 1
