20230427
/m/04y8lr4
/m/04y8lr4
Malcolm Gladwell
2008-11
{"/m/05qfh": "Psychology", "/m/05h83": "Non-fiction", "/m/06ms6": "Sociology"}
a 5
about 1
also 1
and 2
angle 1
as 3
at 1
autobiography 2
been 1
believes 1
book 2
called 1
can 1
christopher 1
coded 1
context 1
described 1
elements 1
experienced 1
feels 1
figure 1
form 1
from 1
give 1
gladwell 2
grossman 1
guilty 1
had 1
happened 1
has 1
have 1
he 2
him 1
his 3
hold 1
how 1
if 1
in 2
into 1
it 4
its 1
langan 1
lev 1
life 1
light 1
magazine 1
man 1
means 1
mixes 1
more 2
noting 1
of 1
out 1
outliers 2
own 2
personal 2
predecessors 1
read 1
right 1
same 1
should 1
style 1
success 3
successful 1
surmised 1
than 1
that 3
the 4
time 1
to 4
touch 1
trying 1
up 1
what 1
writing 1
you 2
