5359566
/m/0dh9p1
/m/0dh9p1
Mark Michalowski

{"/m/014dfn": "Speculative fiction"}
a 23
able 1
about 1
activated 1
actually 1
advises 1
after 1
against 1
agrees 1
alien 1
alive 1
all 1
allow 2
altering 1
alters 1
amnesia 1
amnesiac 1
an 3
anachronistic 1
and 18
are 3
arrived 1
arrives 1
as 7
attack 2
authorities 1
away 1
be 2
beast 3
beasts 1
because 1
been 4
befriended 1
being 2
beings 1
body 5
book 1
bored 1
boy 2
burning 1
but 7
by 6
calamee 2
called 3
captured 1
carries 1
cellars 1
changing 1
citizens 1
city 1
collapses 1
complete 1
confirms 1
consciousness 3
control 2
convince 1
crashed 1
created 1
creature 1
cures 1
current 1
day 1
decides 1
defeat 1
deleted 1
destroying 1
destroys 2
development 1
device 2
die 1
dilemma 1
directed 1
discover 1
discovers 1
disguise 1
distress 1
do 2
docile 1
doctor 8
does 1
effectively 1
enemies 1
entire 2
espero 1
everything 1
explains 1
family 2
farine 2
find 4
finding 2
fitz 10
for 1
forgotten 1
fortunately 2
from 3
gaian 1
genetic 2
genetically 2
goes 1
goo 1
grey 1
grown 1
grows 1
had 1
happened 1
has 7
have 1
having 1
he 13
head 2
her 7
herself 1
him 4
himself 2
his 6
home 1
if 1
in 8
inhabitants 1
inside 1
interfere 1
interference 1
into 1
investigate 2
involved 1
is 8
it 3
its 1
itself 1
job 1
join 1
keen 1
keep 1
kill 1
landed 1
leave 2
leaves 2
led 1
level 2
like 1
link 1
living 2
look 1
lost 1
lying 1
madam 1
make 1
makers 1
manages 2
meanwhile 1
mechanism 1
member 1
memories 4
merely 1
mob 2
more 1
most 1
much 1
mysterious 1
mystery 1
named 3
new 1
night 3
novel 1
observed 1
of 14
offer 1
offers 1
offworlder 1
on 5
only 1
oon 1
others 1
out 3
outside 1
overpowered 1
palace 1
panic 1
part 1
path 1
permanently 1
persuaded 1
planet 7
prevent 1
princess 1
prior 2
properly 1
quite 1
race 2
rather 1
recent 1
refuses 1
remembered 1
remembering 1
removed 1
reo 5
restore 1
restores 1
returns 1
ruling 2
sacrifice 1
safety 1
same 1
save 2
saves 1
searching 1
sees 1
selfdefence 1
sensimi 1
separates 1
she 2
ship 6
signal 1
so 1
soldiers 1
source 2
spaceship 1
start 1
step 1
suffering 1
suppressed 1
surprised 1
surprises 1
symbiote 1
systems 1
tain 9
take 1
taken 1
takes 2
tardis 3
technology 1
than 1
that 11
the 58
their 1
them 3
themselves 1
then 1
they 5
this 1
to 31
transfers 1
tries 1
trix 10
trojan 2
turns 1
two 1
unable 3
unconscious 1
unfortunately 1
unit 2
unknown 1
up 1
using 1
via 1
viroid 1
virus 1
visit 1
wanders 1
war 1
warn 1
warship 1
was 3
watch 1
watching 1
wave 1
wavefront 3
when 1
whilst 1
who 5
will 3
wishes 1
with 4
without 2
woman 1
worse 1
xing 2
young 1
