23839693
/m/06_w5pb
/m/06_w5pb

1959
{"/m/02p0szs": "Historical fiction"}
a 41
abandoned 2
about 2
accept 1
accepts 1
accompanied 2
accomplishes 1
accordingly 1
across 2
act 2
acting 1
action 2
actuality 2
admiring 1
after 8
again 2
against 2
agree 2
agreeing 1
agrees 3
all 2
allies 1
alone 1
along 2
already 1
also 1
although 1
always 1
ambush 4
among 1
an 11
and 56
andreas 7
animals 1
another 3
apolitical 1
approaches 1
are 10
arguments 1
armies 1
army 6
arousing 1
arrangement 1
arranges 2
arrive 2
arrived 3
as 14
aside 1
asleep 1
assassination 1
assigning 1
assist 1
at 9
atone 1
attack 1
attacks 1
attempt 1
attempted 2
attempts 1
attraction 1
authority 1
awakened 1
away 4
awry 1
back 6
backs 1
bait 1
barn 1
based 1
battle 3
be 7
become 1
becomes 1
been 5
begin 1
begins 1
begun 1
behalf 1
behind 1
being 1
believes 1
believing 2
beloved 1
bernard 2
betrayed 1
between 4
block 1
body 1
bond 1
both 2
bound 1
break 1
brought 1
buffer 1
buildings 1
bulk 1
burn 1
burntout 1
business 1
but 8
by 14
calvinist 1
capable 1
captain 29
captains 1
captured 1
case 1
catholic 1
catholics 2
cavalry 1
center 1
change 1
changes 1
changing 1
chief 1
church 1
claimed 1
closer 1
collapses 1
comes 3
coming 1
committing 1
company 5
concealment 1
concerns 1
confined 1
conflict 1
confrontation 2
confronted 1
confusion 2
conspiring 1
contemplate 1
contention 1
conversations 1
convinces 2
countryside 1
croats 6
daughter 1
day 1
days 2
dead 1
death 3
deed 1
defection 1
departed 1
despite 1
destroy 1
destroyed 2
devastated 1
develops 1
diametrically 1
didnt 1
direct 1
discover 1
discovers 2
discuss 1
disheartened 1
disillusioned 1
disinformation 1
divine 1
do 1
does 1
domesticated 1
doom 1
dragged 1
drags 1
drawing 1
draws 1
dream 1
during 2
dying 1
earlier 2
eliminate 1
elimination 1
en 1
encampment 2
encounter 1
end 1
enroute 1
entirely 1
equal 1
erupts 1
escape 1
escapes 1
even 1
eventually 1
exactly 1
exhausted 1
exile 1
existence 1
expecting 1
express 1
eyes 1
faced 1
falls 1
fatigued 1
fed 1
feeding 1
few 1
fight 1
final 1
finally 1
finding 1
finds 2
first 1
flat 1
flee 1
flees 1
flies 1
flight 1
following 1
for 7
force 1
forces 1
forgiven 1
form 1
former 1
fought 1
fr 7
frequently 1
friendship 1
from 10
futility 2
general 4
girl 1
gleeful 1
go 1
goes 2
graf 8
ground 1
group 4
grow 1
gruber 13
guard 1
had 8
hansen 4
happened 1
has 7
hastily 1
have 7
having 1
he 24
head 1
hedge 1
help 1
hesitantly 1
hidden 1
hiding 1
him 9
himself 1
his 17
hoffman 1
hoffmeyr 1
home 2
horse 2
horses 1
hostile 1
hothead 1
however 3
i 1
idea 1
identified 1
immediate 1
immediately 2
imminent 1
impending 1
imperialist 3
imperialists 2
in 31
incidents 1
including 1
infatuation 1
inform 2
informs 1
inge 3
inhabitants 1
inhabited 1
instead 1
instinctively 1
instructs 1
insures 1
intellectual 1
intends 1
intention 1
intercept 1
internal 1
interrupted 1
into 4
intuitively 1
irony 1
irregular 1
is 23
it 5
its 3
jealous 1
johann 1
join 1
joined 2
judge 1
keep 1
kill 1
killed 3
killing 1
kills 1
known 2
knows 1
korski 5
large 1
last 1
later 1
lay 1
leader 3
leading 1
leads 1
learning 1
learns 1
leave 1
leaves 1
leaving 1
lies 1
lieutenants 1
likewise 2
live 1
local 2
location 1
lure 2
lures 1
madeup 1
main 2
maintain 2
makes 1
man 7
many 1
marries 1
martin 1
massacre 1
meantime 1
member 1
mercenaries 9
mercenary 1
merchant 1
might 3
militia 2
militiamen 1
mind 1
minister 1
minute 1
misgivings 1
mission 1
mollified 1
moment 1
more 1
morning 1
mortally 2
mountains 2
move 1
moved 2
must 2
mutual 1
named 3
narrowly 1
nearby 2
negotiate 1
neither 1
new 3
next 1
night 1
no 1
not 2
now 1
object 1
objection 1
obviously 1
of 56
off 3
offering 1
on 6
one 5
only 4
opens 1
opposed 1
or 2
order 4
orders 1
original 1
ostensibly 1
other 9
others 1
out 3
outside 1
outsider 1
over 1
overall 1
owe 1
own 5
painful 1
pair 1
particular 1
parties 1
partisan 1
partisans 1
party 1
path 1
patrol 3
patrols 3
peace 3
peasant 4
peasantlike 1
peasantry 3
peasants 7
people 1
perceive 1
person 1
physical 1
picked 1
pillage 1
pirelli 1
place 3
places 1
plagueridden 1
plan 4
plans 2
plot 1
plots 1
plunder 1
point 2
position 1
presence 1
prevent 2
prevents 2
priest 12
prince 2
proceeds 2
promptly 1
protect 1
protected 1
protecting 2
protestant 3
protestants 1
prove 1
pursuit 1
put 2
quartered 2
quickly 3
quickness 1
raging 1
rape 1
rationality 1
realizing 2
recovered 1
recovering 1
reflects 1
regretfully 1
rejoin 2
relating 1
remain 1
remaining 1
remains 1
replies 1
report 1
resist 1
respect 1
rest 1
retorts 1
return 4
returns 2
revealed 1
reveals 1
reverie 1
rheinfelden 2
rhine 1
ride 1
righthand 1
rising 1
rival 2
rivalry 1
route 1
roving 2
running 1
safe 1
sanction 1
save 2
saves 1
saxeweimar 1
says 1
see 1
senses 1
series 1
set 2
sets 1
several 3
shot 2
should 1
shrine 6
shrines 1
sick 1
side 1
sides 2
situation 3
slept 1
slip 1
slips 1
slowly 1
soldier 1
soldiers 11
sole 1
some 3
sound 1
spare 1
spared 1
spot 1
spring 1
spy 1
starving 1
status 1
still 3
storms 1
story 3
strongwilled 1
stumbles 1
suffering 1
suggested 1
suggestion 3
surmises 1
surprised 1
survival 1
survive 1
survivor 1
svensen 2
tackled 1
take 3
takes 1
taking 1
tells 4
tension 1
that 25
the 198
their 5
them 3
then 4
there 1
they 4
thinksout 1
this 5
those 1
threat 1
three 1
through 1
thwarted 1
to 65
tortured 1
training 1
traitors 1
trampled 1
transact 1
transgression 1
travelling 1
troopers 1
truth 2
turns 2
two 9
type 2
unsuccessfully 1
unsuspecting 1
unwanted 1
up 4
upon 1
uprising 1
urged 1
urges 1
valley 27
via 1
victory 1
village 11
villagers 4
villages 3
vogel 46
vogels 1
von 1
waiting 1
wandering 3
wanted 1
war 2
warfare 1
warn 2
warned 1
warns 2
warring 1
was 1
way 1
we 1
well 2
wellmaintained 1
wendt 10
werth 1
what 2
when 2
where 4
which 2
while 5
who 10
whom 1
whose 2
will 1
winter 1
wiped 1
with 17
within 1
without 1
women 1
working 1
world 1
would 1
wounded 4
wrath 1
wrong 3
years 1
yet 1
you 3
young 2
youngster 1
