3617404
/m/09q75l
/m/09q75l
Octave Mirbeau
1900
a 3
and 2
as 1
aware 1
becomes 1
becoming 1
boots 2
bourgeois 2
by 1
caf 1
chambermaid 1
clestine 3
couple 1
dead 1
diary 1
discovers 1
elderly 1
employer 1
ends 1
entangled 1
fetishizes 1
first 1
her 4
his 1
hostess 1
in 2
into 1
is 2
itself 1
lanlaire 1
later 2
mademoiselle 1
maid 1
man 1
marriage 1
mistreats 1
mouth 1
novel 1
of 4
on 1
one 1
perfectly 1
power 1
presents 1
r 1
servants 1
she 2
struggles 1
stuffed 1
that 1
the 5
their 1
turn 1
who 1
with 1
