34328500
/m/0hzp1w0
/m/0hzp1w0
Eric Foner

a 1
abandoned 1
act 1
also 1
american 1
and 2
as 1
attempting 1
between 1
book 1
bridge 1
career 1
changed 1
choose 1
chronicles 1
civil 1
conservative 1
context 1
dealt 1
defending 1
democrats 1
determined 1
discusses 1
during 1
early 1
end 1
eventually 1
fiery 1
gap 1
growing 1
he 5
his 5
hoped 1
how 1
however 1
illinois 1
in 6
including 1
indiana 1
issues 1
kentucky 1
law 1
life 2
lincoln 4
moderate 2
needed 1
occasionally 1
of 2
on 3
over 1
political 1
position 2
practice 1
preserving 1
radical 1
republicans 1
slaveholding 1
slavery 7
stance 1
states 1
steadfastly 1
that 1
the 8
those 1
to 4
trial 1
union 1
up 1
war 1
was 1
when 1
who 1
win 1
with 1
witnessed 1
would 1
