4042710
/m/0bf371
/m/0bf371
Zoey Dean
2004
a 17
able 2
about 1
accompany 1
actors 1
actually 1
adam 3
add 1
addict 1
addiction 1
adds 1
admit 1
admits 2
advances 1
advises 1
afraid 1
after 1
agency 2
alcoholic 1
all 2
alone 1
along 1
an 4
and 37
anna 34
annoyed 1
apex 1
apologizes 1
are 4
argue 1
around 1
arrive 1
as 3
ashamed 1
asks 1
at 8
attempt 2
attend 1
away 4
awhile 1
back 2
barbara 1
basketball 1
be 3
becomes 1
been 1
before 1
begin 1
begins 1
begs 1
behind 1
ben 11
between 1
beverly 2
bhh 1
bit 1
blossoms 1
boat 1
boyfriend 2
boys 1
brock 1
broke 1
bursts 1
but 9
by 1
caller 1
calls 1
came 1
cammie 8
cannot 1
causes 1
celebrity 1
change 1
chasing 1
check 1
checked 1
claims 1
class 1
classes 1
clinched 1
cold 1
coldly 1
comes 1
concocted 1
courtesy 1
crush 1
cuts 1
dating 1
days 1
decides 2
decision 1
dee 7
demands 1
descent 1
despite 1
developing 1
displeasure 1
drama 1
drugs 1
drunk 1
during 1
embarrassed 1
encourages 1
ends 1
english 1
enough 1
eve 2
even 2
ever 1
everyone 1
exboyfriend 1
explains 1
falling 2
family 1
father 7
few 1
figure 1
film 3
filming 1
finally 2
find 1
finds 2
flirting 1
flood 1
focus 1
for 12
forced 2
forgiveness 1
forgives 1
fortunately 1
franklin 1
friend 1
friends 1
friendship 1
from 2
gambling 1
gatsby 3
gay 2
get 4
getting 1
girlfriend 1
give 1
gleefully 1
go 2
goes 1
going 4
good 1
great 2
group 1
grows 1
guard 1
guest 1
guy 1
had 3
happened 2
harmless 1
has 2
hating 1
he 7
help 2
her 22
herself 3
high 1
hills 2
him 4
his 4
home 2
hooked 1
hoping 1
hotel 2
house 2
however 2
id 1
if 2
immediately 1
in 12
increasingly 1
information 1
inn 1
interested 1
interning 1
internship 1
into 4
is 15
issues 1
it 2
jonathan 3
kicked 1
know 1
later 1
leave 2
left 1
lesbian 1
let 1
like 1
living 1
locked 1
loses 1
lost 1
lot 1
love 1
loved 1
loves 1
made 2
makes 2
manipulate 1
meantime 1
mentions 1
met 1
midst 1
misgivings 1
money 1
montecito 1
monty 1
more 2
much 1
mystery 1
needed 1
nemesis 1
new 4
night 2
not 7
novel 1
of 10
off 4
older 1
on 9
once 1
only 1
or 1
order 1
out 7
overhears 1
paid 1
parker 2
part 1
party 2
percy 3
persuade 1
pinelli 2
pining 1
player 1
plays 1
playwright 1
point 1
pregnant 1
princeton 1
project 5
promise 2
promises 1
punish 1
realizes 2
really 1
reasons 1
rebuffs 1
receives 1
refuses 1
regarding 1
regrets 1
rehab 1
repressive 1
resist 1
resolve 1
reveals 2
room 2
runs 1
rush 1
sam 12
samantha 1
santa 1
sauna 1
scene 1
school 1
schoolmates 1
screenplay 1
secret 1
secrets 1
sex 1
sharing 1
sharpe 1
she 18
shepherd 1
sheppard 1
shoot 1
short 1
shows 1
sister 2
so 1
sober 1
sobriety 1
sounds 1
spa 2
spends 1
stay 2
steinbergs 1
still 3
story 1
subplot 1
suicide 1
surprise 1
susan 18
tagging 1
takes 1
talk 1
team 1
tell 1
telling 1
tells 2
terrible 1
than 1
that 14
the 24
their 6
them 2
then 1
there 1
they 5
this 1
though 3
thoughts 1
threatened 1
ties 1
to 37
told 1
tour 1
tries 2
trouble 1
troubles 2
truly 1
try 1
two 3
until 1
up 3
use 1
vaguely 1
vengeful 1
veronique 1
virginity 1
volunteers 1
wagon 1
wanted 1
was 4
way 2
ways 1
wedding 1
well 1
were 1
what 2
when 2
where 2
which 2
while 1
whilst 1
who 6
whom 1
why 1
will 1
with 10
wont 1
work 1
worried 2
worrying 1
write 1
year 2
young 2
