20010981
/m/04yfs8c
/m/04yfs8c
Eloise McGraw
2001
{"/m/01hmnh": "Fantasy"}
a 6
aid 1
also 1
an 1
and 4
are 3
as 1
back 1
baum 1
book 1
boy 1
but 1
by 1
called 1
carved 1
case 1
castle 1
companions 1
country 1
defeating 1
denizens 1
device 1
dorothy 1
enchanted 1
enchantment 1
ensuring 1
entertainers 1
eventually 1
familiar 1
figure 1
fistsized 1
flarns 1
free 1
friends 1
gale 1
gillikin 1
good 1
happened 1
has 1
help 1
his 4
human 1
humblest 1
in 5
inanimate 2
into 2
it 1
its 1
learn 1
leaves 1
living 1
magic 1
magically 1
magician 1
malicious 1
marionettes 1
mdash 2
member 1
menial 1
most 1
must 1
named 1
not 1
objects 1
obtain 1
of 7
on 1
ones 1
ornaments 1
other 1
out 1
oz 3
ozma 2
people 1
plot 1
poco 2
pocotristi 1
princess 1
protagonist 1
puppet 1
reach 1
reaches 1
restoring 1
rhyming 1
riddle 1
rock 1
rolly 1
rundel 1
rundelstone 2
runes 1
servant 1
serve 1
slyddwyn 3
sostenuto 1
succeeds 1
that 1
the 10
then 1
they 2
third 1
this 2
though 1
to 5
transformations 1
transformed 1
travelling 1
triumphs 1
troopadours 1
troupe 1
turning 1
uses 1
village 1
villain 1
what 1
when 1
whitherwood 1
with 3
work 2
young 1
