19077095
/m/04jh45p
/m/04jh45p
Louise Rennison
2002

a 4
about 3
ace 1
an 2
and 2
angeles 1
at 1
band 1
becoming 1
been 1
book 2
boyfriend 1
boys 1
courage 1
dance 1
diary 1
dylans 1
empty 1
end 1
enough 1
even 1
fifteen 1
for 1
form 1
friends 1
gang 1
georgia 4
gets 1
girlfriend 1
go 2
god 1
goes 1
hamburgeragogoland 1
has 3
he 2
her 5
his 1
house 1
in 6
infatuation 1
instead 1
interview 1
invited 1
is 5
it 1
job 1
los 1
naked 1
new 1
nicolson 1
nuddypants 1
of 3
offer 1
old 1
on 1
or 2
particular 1
popstar 1
received 1
robbie 1
sex 1
sg 1
she 1
snogging 1
states 1
stiff 1
still 1
the 7
thinking 1
this 1
though 1
to 5
tour 1
united 1
upset 1
whakatane 1
when 1
where 1
with 2
written 1
years 1
zealand 1
