31889797
/m/0gvrj0q
/m/0gvrj0q
Roger Penrose


1 1
10100 1
a 2
aeon 6
all 1
allowing 1
an 1
and 2
anew 1
angles 1
appear 1
as 6
at 1
away 1
background 1
backtrack 1
bang 2
be 1
becomes 1
beyond 1
big 2
black 3
breaks 1
but 1
ceases 1
cites 1
collisions 1
concentric 1
conformal 1
continues 1
cosmic 1
cycle 1
defines 1
degree 1
degrees 1
destroyed 1
dimension 1
disagrees 1
distance 1
distances 1
down 1
due 3
end 1
energy 1
enormous 1
enters 1
entropy 3
event 1
ever 1
every 1
evidence 1
examines 1
expand 1
expansion 1
extremely 1
for 2
found 1
freedom 2
from 3
further 1
geometry 1
goes 1
grains 2
gravitational 1
hairless 1
has 1
hawking 2
he 2
his 1
hole 1
holes 2
illustrating 1
implications 1
in 5
inception 1
inevitable 1
infinite 2
influence 1
information 3
infty 1
into 1
is 1
its 3
larger 1
law 1
leave 1
loss 2
lowentropy 1
lower 1
march 1
mass 1
matter 1
maximum 1
meaningful 1
microwave 1
model 1
motion 1
moving 1
new 1
next 1
no 1
nontrivially 1
not 1
oblivion 1
of 12
on 1
over 3
particles 1
penrose 4
period 1
phase 4
photon 1
predicted 1
preliminary 1
preserves 1
previous 3
quite 1
radiation 1
random 1
redshifted 1
resulting 1
rightarrow 1
rings 1
ripples 1
scales 1
second 1
small 1
smaller 1
smooth 1
space 4
starts 1
state 4
stephen 1
structures 1
such 2
survey 1
terms 1
that 1
the 15
thermodynamics 1
this 2
through 1
time 3
to 8
total 1
toward 1
universe 4
up 1
waves 1
when 1
where 1
whereupon 1
whether 1
with 2
wither 1
without 1
wmap 1
would 2
years 1
