32355964
/m/0gyw11x
/m/0gyw11x
Mochtar Lubis
1952
{"/m/05hgj": "Novel"}
a 11
able 2
affair 1
after 5
afterwards 1
again 2
although 2
amongst 1
an 3
and 11
are 1
as 2
asked 1
assists 1
at 1
attends 1
become 3
becomes 3
bedroom 1
before 1
begins 2
being 1
but 1
by 2
captured 2
care 1
confessed 1
confront 1
consequences 1
constant 1
courier 1
created 1
crowd 1
decides 1
deliver 1
delivering 1
disappointed 1
discuss 1
dispersing 1
distances 1
done 1
due 2
during 1
dutch 1
erection 2
even 1
eventually 1
everyone 1
face 1
falls 1
fatimah 3
fear 3
feel 1
finding 1
for 4
forces 1
friends 1
from 2
furious 1
further 1
great 1
grenade 1
guerrilla 1
guru 13
had 2
has 2
have 2
having 1
hazil 8
he 7
head 1
himself 1
his 5
house 1
however 2
ill 1
impotence 1
in 5
independence 1
indonesian 1
initially 1
instead 1
intends 1
interest 1
is 7
isa 13
jakarta 3
japanese 1
just 1
later 1
learns 2
leave 2
less 1
letters 1
lives 1
long 3
malaria 1
meeting 1
meets 2
mission 1
more 1
movie 1
music 1
mutual 1
named 1
no 1
not 3
obligations 1
occupiers 1
of 3
or 1
outside 1
overcoming 1
period 1
pillow 1
pipe 1
populace 1
prison 1
raging 1
regaining 1
relaxed 1
revolution 2
say 1
school 2
selfconfidence 1
selfconfident 1
silent 1
slap 1
smoking 1
so 1
soldiers 1
staying 1
succeed 1
tasked 1
teach 1
teacher 2
terror 1
that 3
the 12
theatre 1
their 2
they 3
this 2
through 1
throwing 1
to 12
together 1
torture 1
two 1
unable 3
under 1
uneasier 1
war 1
weapons 2
what 1
where 1
while 1
wife 1
with 5
within 1
work 1
years 1
young 1
youth 1
