4598986
/m/0cbwsn
/m/0cbwsn
Madeleine L'Engle
1946
13yearold 1
a 6
about 1
after 4
again 1
american 1
and 7
anna 1
another 1
any 1
are 1
as 2
attitude 1
beach 1
birth 1
blindness 1
book 2
both 1
brandes 3
captivates 1
carefree 1
character 1
charleston 2
circumstances 1
continuing 1
controversy 1
cousin 2
death 2
deep 1
despite 1
dies 1
does 1
dr 2
even 2
experience 1
explain 1
failure 1
family 2
father 2
few 1
fictional 1
finally 1
fire 2
first 1
for 2
friendship 1
further 1
gets 1
go 1
goes 1
hates 1
he 1
help 1
henry 12
her 6
hints 1
his 5
home 1
house 1
if 1
ilsa 10
immediately 1
in 4
including 1
initially 1
is 3
john 1
keeps 1
later 1
little 1
live 1
lives 1
locally 1
love 1
marries 1
monty 2
mother 3
musician 1
narrator 1
naturalist 1
nevertheless 1
numerous 1
of 5
old 1
on 2
opens 1
outgoing 1
outside 1
over 1
person 1
personal 1
point 1
porcher 1
randolph 1
refusing 1
relatives 1
renews 1
returning 1
romance 1
scandals 1
seemingly 1
sees 1
setbacks 1
she 1
side 1
silverton 1
soon 1
south 1
stay 1
subject 1
ten 1
that 1
the 11
their 1
this 1
title 1
to 5
town 1
triumphs 1
unfortunately 1
vibrant 1
when 1
where 1
who 1
with 5
woolf 1
years 2
