651764
/m/02_pyf
/m/02_pyf
Marguerite Yourcenar
1951
a 11
accepts 1
accession 1
accidentally 1
addresses 1
administration 1
advanced 1
advancing 1
affects 1
after 2
again 1
age 5
ailing 1
all 1
also 4
alter 1
an 3
and 27
animula 1
antinous 5
appalling 1
are 1
army 2
around 2
arts 1
as 4
astrology 1
at 2
athens 1
atrocities 1
attributes 1
augusta 1
aurelius 2
beautiful 1
before 2
begins 5
beholds 1
believes 1
bithynian 1
blandula 1
blinds 1
bloodshed 1
book 1
both 1
boy 1
boyhood 1
breaks 1
britain 1
by 3
campaign 2
cernit 1
change 1
changes 1
chapter 2
chapters 1
chronological 1
city 1
cold 1
command 1
committed 1
compared 1
condition 1
construction 1
contemplates 2
cult 1
culture 1
curbing 1
dacia 1
dacian 1
death 6
dedicate 1
defeat 1
deficit 1
describes 2
describing 1
despairs 2
destruction 1
deus 1
devises 1
directly 1
disciplina 1
divine 1
drowns 1
due 1
during 4
earlier 1
earliest 1
early 1
economic 1
effort 1
egypt 1
emperors 1
empire 2
end 1
eternalize 1
events 1
eventually 1
executed 1
expansion 2
fails 1
fate 1
favor 1
fear 1
feels 1
felicitas 1
final 1
finally 1
first 3
fleeting 1
following 1
for 7
forces 1
form 1
fortuna 1
fortune 1
framed 1
frequently 1
from 1
further 1
future 2
gains 1
genuinely 1
god 1
gold 1
grandniece 1
greece 1
grief 1
had 1
hadrian 6
hadrians 2
happiness 2
has 1
hastily 1
he 25
health 1
heart 1
help 1
hesitantly 1
high 1
him 5
himself 1
his 36
hold 1
humanitas 1
illness 1
important 2
in 23
incident 1
incurable 1
initially 1
insights 1
interest 1
is 7
italica 1
joins 1
judea 2
kindhearted 1
later 1
letter 1
libertas 1
life 1
lifelong 1
loose 1
love 1
loved 1
loveless 1
major 1
makes 2
marcus 3
marrying 1
may 1
means 1
meets 1
memories 1
memory 2
military 5
mutatur 1
mysterious 1
names 1
narrative 1
natura 1
nature 1
near 1
new 1
newfound 1
nicomedia 1
nile 1
novel 1
now 1
numerous 1
of 26
often 1
old 2
omnia 1
on 2
one 1
only 1
or 1
order 1
other 1
out 1
outbreak 1
outcome 2
over 4
part 1
parthia 2
participates 1
passion 1
passions 1
patientia 1
peace 4
penultimate 1
person 1
philosophy 1
plans 2
plotina 1
policy 1
ponders 1
poor 1
portents 1
position 1
predecessor 1
promoting 2
provinces 1
question 1
rage 1
rampant 1
rebellion 1
recalling 1
recollections 1
recount 1
reflecting 2
reforms 1
regards 1
relationship 2
represents 1
resignation 1
revisits 1
rivals 1
roman 1
rome 3
sabina 2
sacrificed 1
sarmatia 1
sarmatian 1
secretary 1
secures 1
service 1
shortly 1
siege 1
sixty 1
slowly 1
soul 1
states 1
status 1
story 1
strongly 1
study 1
successes 2
succession 1
successor 1
sudden 1
suicide 1
take 1
talks 1
temperament 1
that 2
the 40
themes 1
therefore 1
things 1
thirty 1
this 1
thoughts 1
throne 1
through 1
throughout 3
tibur 1
time 2
to 16
told 1
towards 1
trajan 6
trajans 2
travel 1
travels 2
troops 1
troubling 2
turn 1
ultimately 1
undertaking 1
unraveling 1
unsuccessful 1
upon 1
us 1
vagula 1
value 1
various 2
very 1
villa 1
virtuous 1
vision 1
visit 1
visiting 1
visits 1
wall 1
war 1
wars 1
what 1
where 1
which 5
while 3
who 4
wife 2
will 1
wishes 1
with 7
witnessed 1
witnesses 1
words 1
world 1
years 4
youth 2
