4931424
/m/0cvrvj
/m/0cvrvj
Ron Rash
2006-04
170s 1
a 8
across 1
american 1
an 2
and 5
appalachian 1
as 3
bear 1
become 1
before 1
begins 1
by 1
carolina 1
civil 2
community 2
communitys 1
continues 1
corrupt 1
deals 1
discovered 1
divide 1
drugs 1
easy 1
entwined 1
evils 1
farmer 2
fates 1
few 1
from 1
grove 1
has 1
he 2
his 4
history 1
home 1
in 2
into 1
is 1
its 1
jaws 1
journals 1
lead 1
live 1
lives 1
long 1
make 1
man 1
marijuana 2
massacre 1
money 1
moved 1
north 1
now 1
of 5
onetime 1
opportunity 1
out 1
outside 1
parents 1
past 1
plants 1
present 2
protect 1
reckoning 1
ruthless 1
schoolteacher 1
sees 1
set 1
some 1
steps 1
struggle 1
studies 1
stumbles 1
terrible 1
that 1
the 7
their 1
those 1
to 5
town 1
trailer 1
trap 2
violent 1
war 2
well 1
western 1
who 2
with 4
young 1
