22903948
/m/063__rf
/m/063__rf
Julia Ecklar
2000-07
{"/m/06n90": "Science Fiction"}
a 1
alien 1
and 1
anymore 1
as 1
by 1
chekov 1
colonists 1
colony 1
decided 1
disasters 1
dont 1
due 1
endanger 1
enterprise 1
eventual 1
everyone 1
expansion 1
federation 1
find 1
for 1
greed 1
have 1
help 1
home 1
is 2
lives 1
mineral 1
natural 1
needed 1
of 3
outright 1
patrols 1
planet 1
problems 1
ravaged 1
rights 1
starfleet 1
suffering 1
sulu 1
support 1
system 1
that 1
the 9
they 1
threats 1
to 2
uhura 1
vital 1
want 1
