21891914
/m/05p5y46
/m/05p5y46
Yaşar Kemal
1969

a 4
abdi 2
able 1
abused 1
adversary 1
against 1
agha 2
anatolia 1
and 4
as 1
avoid 1
band 1
beaten 1
beloved 1
boy 1
brigands 1
burn 1
but 1
by 1
capture 1
catches 1
couple 1
cruelty 1
endured 1
escapes 1
exacts 1
finally 1
first 1
from 1
girl 1
great 1
hatche 2
having 1
hawk 1
he 2
himself 1
his 4
in 2
into 1
is 3
joins 1
landowner 1
local 1
manages 1
memed 3
mother 1
mountains 1
much 1
my 1
named 1
novel 1
of 2
old 1
only 1
plot 1
pursuers 1
revenge 1
runs 1
same 1
the 8
they 1
thistles 1
to 2
towards 1
up 1
village 1
villainous 1
where 1
whereupon 1
while 1
with 2
young 2
