12293991
/m/02vz8t9
/m/02vz8t9
John Banville
1993
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 7
account 1
acquainted 1
addressed 1
after 2
aground 1
an 1
and 12
another 1
are 1
art 1
artist 1
as 1
assistant 1
be 1
been 2
begins 1
book 2
by 2
can 1
central 2
centrally 1
character 1
committed 1
construction 1
continuing 1
crime 1
disembarking 1
dutch 1
ends 1
entitled 1
evidence 1
experiences 1
felix 1
felixare 1
fictional 1
figures 1
focuses 1
forgery 1
freddie 1
from 1
ghosts 1
god 2
golden 1
group 1
had 1
half 1
having 1
he 2
him 1
his 7
house 1
identified 1
in 6
inhabited 1
involved 1
irish 1
is 4
island 2
issues 1
it 3
its 1
kreutznaer 2
landed 1
later 1
latter 1
leaving 1
left 1
licht 1
little 2
man 1
many 1
montgomery 1
much 1
murder 1
named 2
narrator 1
nature 1
nonlinear 1
novel 5
of 11
on 3
one 2
only 1
painting 1
past 1
perceptions 1
plays 1
prison 1
professor 1
reembarking 1
referred 1
reflections 1
relationship 1
released 1
revealed 2
role 1
runs 1
sea 1
ship 1
small 1
somewhat 1
struggle 1
stumble 1
tensions 1
that 4
the 19
their 1
there 2
they 1
to 2
travelers 2
travellersa 1
unconventional 1
unnamed 1
unresolved 1
upon 1
vaublin 1
who 2
with 5
woman 1
world 1
young 1
