244205
/m/01kd22
/m/01kd22
Stanisław Lem

164 1
203 1
208 1
26 1
6 1
a 23
abound 1
about 1
absurd 2
absurdities 1
acquaintance 1
action 1
adopts 1
advance 1
again 1
against 1
agent 1
allgirl 1
allow 1
already 1
also 1
altered 1
always 2
an 5
and 31
annual 1
another 1
antipsychem 1
any 4
approximately 1
are 10
argument 1
around 1
as 4
ascends 1
at 5
attack 1
attacks 1
attention 1
attractive 1
average 1
averting 1
awakes 2
bach 1
bank 1
be 6
becomes 2
been 3
beginning 2
begins 1
behind 1
being 1
beneath 1
benevolent 1
benignimizers 1
bias 1
billion 2
black 2
blissfully 1
body 2
bombfree 1
bombing 2
book 1
borrow 1
both 1
brain 2
breakup 1
breath 1
brief 1
bunker 1
business 1
but 6
by 5
call 2
called 1
can 4
cannot 2
cant 1
cars 1
chaotic 1
charred 1
choreographed 1
chronicle 1
cityspeak 1
clear 1
cleverly 1
climaxing 1
climb 1
cold 1
collect 1
colliding 1
combative 1
compared 1
concrete 1
condition 1
conference 3
confides 1
congress 3
control 1
convinced 1
copy 1
corpses 1
costa 3
could 1
countersomniac 1
course 1
covered 1
crashes 1
crisis 1
day 3
deal 1
dealing 1
debt 2
decision 1
deeply 1
defaulting 1
defrostees 1
degrees 1
deliberately 1
derivative 1
derives 1
desperately 1
dexterity 1
dimethylethylhexabutylpeptopeyotine 1
dingy 1
disallow 1
disillusioned 1
distinguish 1
distributed 1
do 1
does 1
dose 1
doses 1
drinks 1
drive 1
drop 1
drug 3
drugged 1
drugs 4
during 2
earth 1
effort 1
eighth 2
either 1
elevator 1
elevators 1
employ 1
empty 1
encounter 1
ends 1
english 1
enough 1
escapes 1
esquire 1
evacuated 1
evaporates 1
events 1
every 1
everyday 1
everyone 1
experience 1
explains 5
extravagances 1
fallen 1
few 1
fictitious 1
fiercely 1
fifteen 1
finds 3
first 3
fivestar 1
flask 1
focus 1
following 1
for 2
fork 1
format 1
found 1
four 1
fragile 1
freeze 1
friend 1
from 5
frozen 3
full 1
future 2
futuristic 1
futurological 2
george 1
gets 1
gilded 1
gives 1
glaciers 1
glimpse 1
globs 1
go 1
government 2
graybrown 1
great 2
ground 1
grove 1
grows 1
gruel 1
guaranteed 1
guests 1
hallucination 1
hallucinogenic 1
hallucinogens 1
halting 1
hard 1
has 5
have 3
he 20
held 1
helicopter 1
hell 1
help 1
helplessly 1
her 1
here 1
hiding 1
highly 1
hilton 4
him 1
hind 1
his 14
horrible 1
horrorscape 1
hospital 2
hotel 2
i 2
ice 1
iceberg 1
if 2
ijon 1
illusion 1
imagesuperimposedand 1
in 28
include 1
increasingly 2
indeed 1
inhabitants 1
inherent 1
inside 1
instant 1
instead 2
instills 1
interestfree 1
into 6
introduced 1
introducing 1
involved 1
is 24
isundoctored 1
it 8
its 1
itself 1
journal 1
journey 1
just 1
keep 1
keeps 1
killed 1
languages 1
lay 1
learns 1
legally 1
legs 1
lem 2
less 2
like 1
longer 2
made 1
maintaining 1
make 2
makes 1
man 1
many 1
mascara 1
mascon 1
mascons 3
mask 3
masquerade 1
meant 1
medical 2
medicine 1
mental 1
mentality 1
middle 1
military 1
mishmash 1
modest 1
moment 1
money 1
mood 1
more 2
most 4
my 1
mystified 1
narcotics 1
nearly 1
never 1
new 4
next 1
night 1
no 6
not 3
nounas 1
novel 1
now 1
numbers 1
numerous 1
object 2
of 38
office 1
on 3
one 3
only 3
or 4
orchestra 1
order 2
other 1
others 1
ours 1
out 4
outside 1
overpopulation 1
overweight 1
p 1
palm 1
panic 1
papers 2
paragraph 1
people 5
perceptions 1
performing 1
pheasant 1
played 1
plummet 1
point 1
points 1
police 1
power 1
powerful 2
prepared 1
presentations 1
presenters 1
presents 1
pride 1
professor 3
prolongs 1
properly 1
protect 1
protesters 1
psychem 1
psychemasconated 1
public 1
pushing 1
rats 1
reality 5
realizes 4
really 1
recriminol 1
redhaired 1
regards 1
registered 1
regulate 1
regulated 1
request 1
rescue 1
resolves 1
restaurant 1
revealed 1
rica 3
ride 1
robots 3
room 1
rooms 1
roots 1
run 1
safely 1
said 1
salient 1
satirical 1
scene 1
scifi 1
seat 1
second 1
secret 1
see 1
seeks 1
sees 2
sense 1
sent 1
set 1
sewer 2
shafts 1
she 1
shipwrecked 1
shock 1
silver 1
simply 1
single 1
sip 1
sits 1
skyscraper 1
sleep 1
small 1
snow 1
so 5
society 1
some 1
speakers 1
spiral 1
splashes 1
staff 2
stages 1
stand 1
start 1
state 3
stinking 1
stop 1
stories 1
street 1
streets 1
striptease 1
stuck 1
stuffed 1
subject 1
successive 1
such 1
suite 1
sum 1
supply 1
surroundings 1
swaths 1
symington 2
tackles 1
take 1
takes 1
taking 1
tall 1
tap 1
tarantoga 1
tarps 1
tell 1
temperature 1
than 1
that 20
the 76
their 5
them 2
then 1
there 5
they 6
this 8
though 2
thought 1
through 1
tichy 21
tiff 1
time 2
tin 1
tip 1
tired 1
to 22
too 1
tracks 1
transplanted 2
trifles 1
trip 1
trottelreiner 3
turns 1
twenty 1
unadulterated 1
unappetizing 1
uncensoredyou 1
understand 1
until 1
up 2
upnatm 3
utopian 1
via 1
victim 1
vigilanimides 1
visions 1
wakes 1
waking 1
walk 1
walls 1
was 1
watches 1
water 2
waters 1
way 3
ways 1
we 2
went 1
when 2
where 5
wherein 1
which 10
while 2
whip 1
who 2
whole 1
why 2
wild 1
will 1
window 1
with 11
woman 2
words 2
workethic 1
world 12
would 4
year 2
years 1
you 1
young 1
your 1
