7807538
/m/026dqqt
/m/026dqqt
James Patterson
1996
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/0lsxr": "Crime Fiction"}
13 2
a 32
able 1
about 1
abuses 1
accident 1
address 2
admitting 1
after 5
agent 1
aka 1
alex 17
alive 1
all 2
also 1
alternate 1
american 1
an 2
and 48
another 6
apartment 1
apprehended 1
are 5
arises 1
arranging 1
arrest 1
arrested 1
as 5
ask 1
asks 1
at 10
auditorium 1
awoken 1
back 1
baseball 1
bat 1
because 1
becomes 1
begins 1
being 1
benefit 1
betrayed 1
between 1
blood 1
body 1
bomb 1
book 1
bordreaux 1
boy 1
brett 1
building 1
but 8
by 11
called 1
calls 1
camera 1
cant 1
case 11
cases 1
cat 1
caught 1
chaos 1
chase 1
chief 1
child 12
choice 1
chopitoff 1
chopitoffchuckie 1
christine 2
christmas 1
chuckie 1
cia 5
cold 1
come 1
commissioner 1
committed 1
concentrates 1
confrontation 2
connection 1
contains 1
continues 2
contract 1
contracted 1
cooperating 1
cops 1
cracking 1
craig 1
crime 1
cross 9
danny 2
day 4
days 1
dc 1
dead 3
death 1
decids 1
declines 1
depression 1
detectives 3
died 2
different 1
do 3
dont 2
dressed 1
drive 1
due 1
elude 1
emmanuel 1
encounters 1
end 1
ends 1
enough 3
enters 1
escape 4
evade 1
evidence 2
expertise 1
explods 1
falls 1
famous 3
fbi 2
fellow 1
few 1
find 2
finds 1
fingernails 1
first 2
fit 1
flesh 1
followed 1
foot 1
footage 1
for 7
formed 1
fought 1
found 6
from 1
garden 1
gary 2
general 2
george 1
get 1
ghosts 1
given 1
go 1
goes 3
good 1
grayer 1
green 3
group 2
hand 1
hangs 1
happens 1
harrison 1
has 3
hawkins 8
he 19
help 5
her 3
him 7
his 9
home 5
hospital 1
hostage 1
house 3
husband 2
if 2
imprisoned 2
in 10
inform 1
informants 1
informed 2
inspector 2
instead 1
into 1
investigation 3
is 20
it 10
itjack 1
jack 15
jay 1
jeanne 4
jill 12
john 1
johnson 2
just 1
kevin 5
kill 3
killer 13
killers 1
killing 1
kills 5
kind 1
know 2
knowledge 2
kyle 1
later 5
leave 1
left 1
lingering 1
locates 1
look 1
lorton 1
made 1
madison 1
main 1
man 1
meaning 1
medication 1
middle 1
mistake 1
mistakes 1
mistress 1
money 1
moore 2
murder 4
murdered 1
murders 5
mutilated 1
name 1
named 2
negotiations 1
new 2
next 1
night 2
no 1
normal 1
not 4
obsession 1
occurs 1
of 27
off 1
old 2
on 11
one 3
or 2
other 4
out 3
parents 1
part 1
partner 1
patsy 1
people 2
perez 1
person 1
physically 1
pittman 3
plunged 1
poisoning 1
police 1
policesuspect 1
president 6
principal 1
profiling 1
promptly 1
protected 1
proves 1
psychology 1
psychopathic 1
question 1
rage 1
real 5
really 1
reported 1
requested 1
requests 1
resume 1
revealed 2
revenge 1
romanzo 1
rosen 3
rosenjill 1
rosie 1
route 1
run 1
rushes 1
sam 1
sampson 8
sara 4
saying 1
scene 2
schedules 1
school 4
secret 2
secretly 1
security 1
senator 2
serious 1
service 2
setup 1
shanelle 3
she 1
shot 2
show 2
side 1
signs 1
so 1
sojourner 2
solve 4
solved 1
solving 1
some 1
someone 3
soneji 2
soon 1
southeast 1
spends 1
square 1
starts 2
states 1
sterling 3
still 3
stopped 2
streets 1
successfully 1
such 1
suffers 1
sumner 2
suspect 3
takes 1
taking 1
talk 1
tape 2
target 1
team 1
tells 1
that 17
the 86
their 4
them 3
then 4
theory 1
there 1
they 15
thing 1
this 2
thought 2
throughout 1
time 1
to 31
told 1
tree 2
tried 1
truth 4
try 1
trying 2
two 2
umner 1
under 1
united 1
unsolvable 1
unsuccessful 1
up 1
us 1
used 1
using 3
vernon 1
victim 1
videotape 1
visit 1
visited 1
waiting 2
was 22
washington 1
wasnt 1
went 1
were 3
what 2
wheatley 1
when 1
where 3
which 2
while 4
white 1
who 5
whoever 1
wife 1
will 2
wishes 1
with 11
without 2
woman 5
wont 1
work 5
would 1
year 1
years 1
york 1
