914635
/m/03pgsd
/m/03pgsd
Thomas Norton


a 1
action 1
afterward 1
almost 1
and 8
argument 1
assembled 1
at 1
became 1
beginning 1
both 2
britain 1
civil 1
crown 1
cruelty 1
dearly 1
desolate 1
destroyed 1
dissention 1
divided 1
elder 2
fact 1
father 1
fell 2
ferrex 1
following 1
for 3
gives 1
gorboduc 1
his 3
in 3
issue 1
issues 1
killed 2
king 1
land 1
lifetime 1
long 1
loved 1
many 1
miserably 1
more 1
most 1
mother 2
moved 1
nobility 1
of 7
people 1
play 2
porrex 1
prince 1
realm 1
rebellion 1
rebels 1
revenge 1
rose 1
slain 1
slew 1
sons 2
succession 1
summary 1
terribly 1
that 1
the 19
their 1
they 2
time 1
to 3
uncertain 1
want 1
war 1
wasted 1
were 1
whereby 1
which 1
with 1
younger 2
