36681
/m/0952p
/m/0952p
Aldous Huxley

{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/0c082": "Utopian and dystopian fiction", "/m/02xlf": "Fiction", "/m/026ny": "Dystopia"}
18 2
2540 1
6 1
60 1
632 1
a 48
abilities 1
able 2
abortion 1
about 4
acceptance 1
accepted 1
accessory 1
accidentally 1
according 1
acoma 1
act 1
actions 1
activity 1
ad 1
addressed 1
adhering 1
administered 1
adores 1
adult 1
afar 1
affinity 1
after 2
afternoon 1
again 3
age 1
aged 1
alcohol 1
all 5
allegiances 1
allowed 1
allowing 1
allusion 1
alone 3
alpha 4
also 2
although 3
ambitions 1
america 1
american 1
among 1
an 19
anasazi 1
ancient 1
and 96
angered 1
annoy 1
annoyed 1
another 1
any 1
anyone 1
apologizes 1
appalled 1
appear 1
appears 1
are 23
areas 1
argument 1
around 1
arranges 1
arrested 1
arrive 2
articulation 1
as 22
asleep 1
asocial 2
at 11
atone 2
attacked 1
attacks 1
attempt 1
attend 1
attention 1
attraction 1
audience 1
avages 1
availability 1
average 1
away 5
back 1
banishment 1
banned 1
based 1
bathroom 1
be 15
beastly 2
beat 1
beating 1
became 2
because 8
become 2
becomes 1
bed 2
bedrock 1
bedside 1
been 6
before 2
begin 1
behavior 3
behind 1
beholden 1
being 6
beliefs 3
believe 1
believed 1
believing 1
belongs 1
belt 2
bernard 32
beta 2
better 1
between 1
bewilders 1
beyond 2
billion 1
birth 4
birthrate 1
bitter 1
blames 1
block 1
bokanovsky 1
bolsters 1
book 2
books 1
boss 1
both 1
bottles 1
boy 1
boys 1
brave 1
breaks 1
bred 1
brief 1
brings 1
brought 1
brutally 1
but 8
buy 1
by 20
calendar 1
call 1
called 2
calling 1
calls 1
camaraderie 1
came 1
can 3
cannot 1
cartridge 1
caste 5
castea 1
casteappropriate 1
castes 6
casual 1
caught 1
cause 1
causes 2
centre 2
centres 1
ceremony 1
chance 1
change 1
chanting 1
chapter 1
chapters 1
chemical 1
child 3
childhood 1
children 6
choice 1
chooses 1
chosen 3
citizens 3
city 1
civilization 2
class 1
climaxes 1
closer 1
clothes 3
clubs 1
cognitive 1
collection 1
college 1
colonisation 1
color 1
come 1
comes 1
comfort 1
comfortable 1
command 1
communion 1
community 1
competition 2
competitiveness 1
complex 1
complexity 1
comprehension 1
conditioned 4
conditioning 5
confidant 1
confronted 1
connected 1
considered 3
consists 1
constant 1
consume 2
consumed 1
consumption 4
contained 1
contemporary 1
context 1
continue 1
contraceptives 1
control 2
controller 1
controversial 1
conversation 2
conversations 1
countered 1
couple 1
courting 1
created 2
crowd 1
crowne 1
crying 1
culture 1
curio 1
customs 1
dead 1
death 3
decanted 1
decanting 1
decided 1
decrepit 1
deemed 1
deeply 1
defends 1
deliberately 1
delta 1
deltas 1
demands 1
denied 2
denounces 1
department 1
departures 1
descendants 1
describes 1
desert 1
designed 1
desire 3
desires 1
despite 1
destroys 1
develop 1
developed 2
developing 1
development 1
devices 1
devolves 1
did 1
die 1
dies 1
differences 1
different 1
director 4
disaster 1
discomfort 1
discovers 1
dislikes 1
distraction 1
divided 1
divulges 1
do 2
does 2
done 1
down 1
drawn 1
drill 1
drink 1
drives 1
drops 1
drug 3
during 2
each 6
early 1
easier 1
easy 2
economic 2
economy 1
educated 1
efficiency 1
egg 2
eggs 1
eliminates 2
else 1
emotion 1
emotional 3
employment 1
empty 1
enables 1
encounters 1
encouraged 1
ending 1
endorsed 1
engage 1
engagement 1
engineering 1
enjoy 1
enjoyable 1
ensuing 1
enter 1
epsilon 1
epsilons 2
escape 1
escaping 1
especially 1
established 1
eternally 1
europe 1
even 4
ever 2
every 1
everyone 4
excitement 1
exciting 1
excluded 1
exile 2
exiled 1
existing 1
experiences 3
experiment 1
experiments 1
explains 1
extremely 3
face 1
facilities 1
falkland 1
fall 1
falls 1
familiar 1
family 2
fancies 1
fashion 2
father 1
feared 1
feelings 1
fertilized 1
fetus 1
fetuses 2
few 1
filling 1
film 1
final 1
find 2
finds 3
first 3
five 1
fixing 1
fly 1
folk 1
following 1
food 1
for 21
force 2
forfeiting 1
freethinkers 1
frenzied 1
frenzy 1
friend 3
friendless 1
friendship 2
from 14
front 1
fuel 1
fulfill 1
full 1
further 2
future 2
gamma 1
gammas 1
gave 1
gawking 2
generations 1
genuine 1
geographic 1
get 2
getting 1
gifted 1
gives 2
giving 1
global 1
goes 2
golf 1
good 1
goods 1
great 1
gregorian 1
grief 1
group 2
groups 2
grow 1
growth 1
had 5
hallucinogen 1
hamlet 1
hand 1
handling 1
handsome 1
hanging 1
hangoverfree 1
happy 2
hard 1
harmony 1
has 13
hatcheries 2
hatchery 3
have 5
having 3
he 31
health 1
heartbroken 1
hed 2
held 1
helmholtz 12
help 1
helping 1
helps 1
her 25
hermit 2
highercaste 1
highest 2
him 10
himself 5
his 34
holds 1
holiday 3
holidays 1
hopeless 1
horrified 1
horrifying 1
hospital 2
hotel 1
housing 1
however 1
human 1
humanity 1
humiliated 2
hundreds 1
hymns 1
hypnopaedic 1
hypnopaedically 1
hypnosis 1
iceland 1
idea 2
ie 1
imminent 1
in 54
including 2
increase 1
incubated 1
inculcated 1
indefinite 1
indian 1
indians 1
individual 2
indoaryans 1
inferiority 1
influence 1
innerdirected 1
insight 1
inspire 1
instead 2
integral 1
intelligence 1
intelligent 1
interest 1
interested 1
interference 1
interrupted 1
into 6
intrigued 1
introduces 1
involvement 1
is 49
island 3
islands 2
isnt 1
isolates 1
it 6
item 1
its 2
jealous 1
job 1
jobs 1
john 36
joy 1
juliet 1
keep 1
knees 1
knowledge 1
lack 1
laguna 1
land 1
large 1
largely 1
last 1
later 2
laughter 1
leaders 1
leave 2
lecturer 1
led 1
left 4
lenina 9
less 1
life 7
lifelong 1
lighthouse 1
like 2
limited 2
linda 10
literally 1
living 3
located 1
london 7
loneliness 1
longer 1
longlost 1
lover 1
lovers 1
lower 3
made 1
maintain 1
maintained 1
majority 2
make 1
makes 2
malpais 2
malthusian 2
man 1
managed 1
manual 1
marriage 1
marx 1
mass 1
material 2
mature 1
maturing 1
maxim 1
means 1
mechanism 1
meet 1
meets 2
member 2
members 6
memories 1
men 2
mend 1
mending 1
mentioned 1
mere 1
merely 1
messages 1
method 1
mexico 1
middle 1
minus 1
misfits 1
misses 1
mistreated 1
mock 1
mold 1
mond 3
money 1
morals 1
more 4
morning 2
mother 7
mourn 1
mourning 1
move 1
much 3
mustapha 2
mythical 1
name 1
named 1
native 4
natives 1
natural 2
naturally 1
navajo 1
nearuniversal 1
necessity 1
need 3
needed 1
needs 1
never 1
new 4
no 7
nonconducive 1
north 1
not 9
novel 2
now 1
object 1
obscene 1
obsolete 1
obstacle 1
of 74
off 1
office 1
often 1
old 3
on 12
once 4
one 12
only 5
open 1
opens 1
opportunistic 1
or 8
organizations 1
orgy 3
ostracized 1
othello 1
other 4
others 1
out 5
outcast 2
outlook 1
outrageous 1
outside 3
outsiders 1
ovary 3
over 1
own 4
parenthood 1
part 1
participate 1
participated 1
parties 1
passion 1
peace 1
peaceful 1
people 7
peoples 1
perceives 1
perform 1
permanent 1
permanently 1
permission 2
person 4
personal 2
philosophical 1
phrases 1
physical 2
physically 1
place 2
plan 1
plans 1
platitudes 1
play 2
playing 1
please 1
plentiful 1
plus 3
podsnap 1
poetry 1
point 2
police 1
popular 1
population 4
pornographic 1
positions 1
predetermined 2
pregnancy 2
pregnant 1
presenting 1
process 2
produce 1
producing 1
product 1
production 1
professional 1
programming 1
progresses 1
promiscuity 1
prompts 1
properly 1
prospect 1
provide 1
provides 1
providing 1
psychologist 1
publicly 1
puebloan 1
