24172425
/m/07kd5gj
/m/07kd5gj
Terry Brooks

a 30
abaddon 3
abernathy 3
able 2
about 5
accept 1
accepting 1
accord 1
act 1
addition 1
advantage 1
advisors 1
after 4
again 2
against 2
aghast 1
agree 1
agreed 1
agrees 1
aid 1
all 4
allow 1
allowed 1
almost 1
alone 1
along 1
also 3
an 4
and 45
animal 1
answer 1
anyone 1
apart 1
apparently 1
appear 1
appearance 1
appeared 3
appleton 1
appreciate 1
approach 1
approval 1
argument 1
armed 2
armoured 1
arrival 1
arrived 3
as 11
assistant 1
at 4
attire 1
authorities 1
avoided 1
away 3
back 3
backup 1
bad 1
baronies 1
barony 1
be 12
because 1
becoming 1
been 6
before 3
began 3
being 9
ben 11
bennett 1
besides 1
between 2
birds 1
blueblooded 1
bolt 1
bondingwithnature 1
book 1
books 2
breach 1
break 1
breaking 1
brief 1
bring 1
brother 1
bullying 1
but 2
by 15
cage 4
called 1
came 5
can 1
capture 1
captured 1
carringon 2
cast 1
castle 2
cat 2
caused 1
ceremony 1
certain 1
chance 1
charge 1
chasing 1
chose 3
christmas 1
classes 1
clear 1
cleared 1
club 1
coast 1
come 1
coming 1
commitment 1
companion 1
conclusion 1
congratulate 1
conjured 1
consider 1
considered 1
contacted 1
convey 1
convinced 2
convincing 1
correctly 1
correspondence 1
could 4
country 1
crabbit 7
craswell 3
creation 1
crossbow 2
crow 2
crown 1
current 1
custody 1
dagger 1
daughter 1
day 1
days 1
decided 1
deciding 1
dedicated 1
delicacies 1
demand 1
demanding 1
demons 2
deployed 1
depth 1
despite 1
determined 1
did 1
different 1
diplomatically 1
direct 1
dirk 4
disappeared 1
discovered 2
discussed 2
dismay 1
disrupting 1
distracting 1
do 1
domain 1
done 4
down 1
dragon 1
dulles 1
each 1
east 1
edgewood 3
effective 1
efforts 1
elicited 1
ellice 1
encounter 2
ended 1
engage 1
england 1
enlisted 1
escape 3
ever 1
except 1
exclusive 1
exiled 1
expected 1
experts 1
explanation 1
explosion 2
exposed 1
eyes 2
faced 1
failing 1
far 1
father 2
fell 1
fellow 1
figure 1
first 2
five 1
fix 1
fixing 1
flight 1
for 12
forests 1
form 1
formed 1
former 1
forth 2
foster 1
fostered 1
found 1
from 19
gave 1
george 1
ghome 1
girl 3
give 1
giving 1
glad 1
gnome 2
go 3
goal 1
going 4
got 1
grandfather 4
greater 1
greensward 1
greet 1
grounds 1
group 1
had 14
haltwhistle 1
harriet 1
having 2
he 6
headmistress 2
heal 1
heated 1
held 1
help 5
her 27
herself 3
hide 1
himself 1
his 10
holiday 1
home 3
homeland 1
however 2
human 1
hundred 1
hysterics 1
idea 1
identity 1
if 3
ignorance 1
illusion 1
image 4
immediately 1
implement 1
in 29
incite 1
indicated 1
inducing 1
informed 3
