2058294
/m/06j4rv
/m/06j4rv
Bruno Schulz
1937
a 4
absentminded 1
adela 1
after 1
again 1
all 1
an 2
and 6
anemic 1
appears 1
around 1
as 1
at 1
authorities 1
be 1
because 1
been 2
big 1
bonelessand 1
business 1
but 1
by 2
can 1
cannot 1
catch 1
clothing 1
concluding 1
course 1
crablike 1
creature 1
day 1
endlessly 1
escape 1
escapes 1
even 1
explicit 1
father 3
fiancee 1
finally 1
first 1
for 2
franz 1
from 1
functions 1
genya 1
gone 1
handkerchief 1
has 2
have 1
he 1
helped 1
her 1
him 1
himself 1
his 3
hold 1
house 1
however 1
in 1
insect 1
into 3
introduction 1
invoices 1
is 1
kafka 3
last 1
letters 1
liquidated 1
lunch 1
made 1
maid 1
main 1
makes 1
man 1
managed 1
metamorphosis 1
must 1
never 1
novel 1
of 2
old 2
one 1
onetime 1
or 1
over 1
pale 1
passive 1
piece 1
polish 2
pretty 1
provided 1
reference 1
relatives 1
replaced 1
response 1
runs 1
sauce 1
schulz 3
searching 1
seen 1
she 2
so 1
something 1
sometimes 2
story 1
table 1
taken 1
that 1
the 10
then 1
to 3
translate 1
translation 1
trial 1
turn 1
unlike 1
victim 1
wallpaper 1
which 2
white 1
who 1
wife 2
young 1
