4425162
/m/0c1n77
/m/0c1n77
Jennifer Donnelly
2003-04-01
106 1
a 24
abby 1
about 2
adirondack 1
advances 2
affair 1
afford 1
africanamerican 1
after 1
all 2
allowed 1
also 4
alternating 1
an 2
and 28
application 2
articulate 1
as 7
ask 1
asked 1
aspirations 1
at 3
aunt 3
away 1
backhanded 1
barnard 3
be 1
because 5
become 1
begins 1
behind 1
being 2
best 1
beth 1
better 2
big 1
birth 1
body 1
book 1
bookish 1
books 2
brother 2
brown 2
burn 2
business 1
but 7
buy 1
by 4
can 2
cancer 1
cant 5
carl 1
century 1
chapters 1
characters 2
checked 1
chester 2
child 1
children 1
choice 1
chooses 1
city 2
clandestinely 1
clean 1
cleans 1
closer 1
closest 1
college 4
compares 1
completely 1
confused 1
connect 1
continues 1
continuous 1
cookbook 1
crush 1
day 2
decided 1
depressed 1
despite 1
developed 1
dictionary 1
didnt 1
died 1
difficult 1
discovers 1
do 1
does 2
doesnt 2
dollars 1
drawn 1
draws 1
dreams 1
during 1
earlier 1
earn 1
educate 1
emmie 5
encouraging 1
end 3
enough 2
even 2
ever 1
every 3
except 1
excited 1
explains 1
family 3
farm 4
father 8
feel 1
feelings 1
feels 1
feisty 1
feminist 1
fight 1
figure 1
finally 1
finds 1
fire 1
for 9
found 1
friend 3
from 1
full 1
gave 1
get 1
gift 1
gillette 1
girl 1
girls 1
give 4
gives 1
giving 2
glenmore 1
go 2
going 3
gokey 1
good 3
grace 6
grahm 1
guilty 1
had 2
hands 1
hard 1
has 8
have 1
having 1
he 13
help 2
helps 1
her 41
heroic 1
herself 3
highly 1
him 1
his 5
home 2
hotel 3
house 2
hubbard 1
hubbards 1
husband 1
in 22
incredibly 2
information 1
insincere 1
intelligent 2
intends 1
into 1
invites 1
is 29
it 3
jealous 1
jim 1
josie 3
just 2
keep 2
keeps 1
killed 2
knowledge 1
knows 2
lack 1
lake 2
land 1
large 1
later 2
lawton 3
leave 5
leaves 4
leaving 1
left 1
letters 3
life 3
lights 1
like 2
likes 3
literary 1
literature 2
lives 1
lonely 1
looks 1
loomis 2
lou 1
lover 1
loving 1
made 2
major 1
make 3
makes 2
man 1
many 1
married 1
math 2
mathilda 1
mattie 24
memory 1
might 1
minnie 2
mixed 1
money 8
moose 1
morals 1
more 2
morning 1
mother 7
mountains 1
mr 1
mrs 2
murdered 1
mystery 1
naive 1
narrator 1
near 1
needed 1
neighbor 1
nervous 1
new 4
no 1
north 3
northern 2
nosy 1
not 2
novel 2
now 3
of 16
off 1
on 7
one 6
only 2
or 1
other 1
out 2
own 2
pack 1
part 2
passion 1
past 2
pay 1
peace 1
people 2
person 1
place 1
plain 1
poetry 1
pointless 1
poor 1
poorly 1
pregnant 1
present 2
promise 2
prompts 1
proposed 1
pursue 1
push 1
read 1
reader 1
reading 1
reads 1
ready 1
reasons 1
recently 1
refuses 1
rejection 1
relationship 1
resents 1
resist 1
reveal 1
rich 1
right 1
rights 1
ring 1
romantic 1
royal 11
run 1
same 2
saved 1
say 1
scared 1
scholarship 1
school 1
see 1
selfish 1
send 2
sensitive 1
set 1
seven 1
she 40
shocking 1
show 1
shows 2
sisters 2
sixteenyearold 1
smart 2
smith 1
so 4
some 1
soon 1
stay 2
steps 1
still 1
story 3
strong 2
strongwilled 1
struggles 1
subject 1
summer 1
taking 1
taxes 1
teacher 1
tells 2
than 2
that 12
the 48
their 3
them 3
there 1
they 3
think 3
thinks 3
this 1
though 2
three 3
ticket 2
time 2
to 50
too 2
touch 1
tragic 1
train 2
treats 1
tries 2
true 1
try 1
turn 1
twins 1
two 2
understands 1
unfortunately 2
unwelcome 1
up 5
want 1
wanted 1
wants 1
was 2
weaver 11
week 1
what 1
when 2
where 1
which 4
while 1
who 3
why 1
wilcox 2
will 1
willing 1
with 13
woman 1
women 1
woods 3
word 1
wordsduring 1
work 1
working 2
works 1
world 2
writes 3
writing 2
writings 1
written 1
yields 1
york 2
yorkthe 1
young 2
younger 1
