32351140
/m/0gyrm88
/m/0gyrm88
Mochtar Lubis
1975
{"/m/05hgj": "Novel"}
a 8
abandon 1
able 1
admits 1
admitting 1
admonition 1
after 8
air 2
also 1
although 4
ambush 1
and 27
anyone 1
approach 1
are 5
around 2
arrival 1
arrives 1
as 2
at 3
attack 1
attacked 3
attacking 1
attempt 1
attempts 1
away 3
back 2
balam 8
because 1
become 1
becomes 1
before 3
begins 1
being 2
both 1
bound 1
bring 1
brought 1
buried 1
bury 2
burying 1
but 1
buyung 12
by 8
camp 5
carrying 1
carve 1
check 1
closely 1
collectors 5
comforting 1
concludes 1
condition 1
confesses 2
confides 1
confront 1
continue 2
continuous 1
counters 1
crying 1
dammar 6
darkness 1
day 3
dear 1
decide 1
deer 1
defecating 1
departure 1
dies 3
discard 1
divines 1
doubled 1
dreams 1
drink 1
due 3
dukun 1
establish 1
evening 2
eventually 1
face 1
faith 1
fate 1
find 1
fire 1
firing 1
first 1
following 4
for 4
forest 1
forests 1
forgotten 1
frighten 3
frightened 1
from 5
gave 1
give 1
giving 1
go 3
god 2
goes 1
going 1
gunpowder 1
had 2
haji 8
has 3
have 4
he 14
hear 1
her 4
him 8
his 12
hitam 1
hours 1
however 2
hunt 2
hunting 2
hurriedly 1
in 5
injured 1
instead 1
interrupted 1
into 3
is 12
it 4
jernih 2
journey 1
just 1
kancil 3
katok 19
kill 2
killed 1
later 1
leave 1
led 1
life 1
light 1
long 1
lost 3
maghrib 1
making 1
manage 1
manages 1
meanwhile 1
meets 1
midday 2
misfires 1
more 3
morning 3
most 1
much 1
must 1
nearby 1
next 3
night 1
not 2
of 8
on 1
only 1
or 1
other 1
others 5
paid 1
pak 16
path 1
prayers 1
prepares 1
prevent 1
process 1
promptly 1
prophetic 1
punishing 1
rape 1
realize 1
realizes 2
refuse 1
release 1
relief 1
remaining 1
remains 1
removes 1
repent 1
returns 1
rifle 2
roar 1
rubiyah 2
runs 1
sanip 6
saves 1
saw 1
saying 1
sent 1
seriously 1
seven 1
severely 1
sex 2
she 1
shoot 5
shooting 1
shoots 1
sinned 1
sins 6
siti 2
snaps 2
some 2
something 1
soon 1
spend 1
stop 1
stopped 1
stopping 1
strangle 1
stream 2
succeed 1
succumbing 1
sumatra 1
supernatural 1
sutan 4
take 1
taking 1
talib 6
talismans 1
tells 4
that 13
the 49
their 6
them 7
then 3
they 15
thicket 1
threatening 1
threatens 2
through 1
tiger 16
time 1
times 1
to 33
tracks 1
trap 2
tree 1
tries 1
two 1
tying 1
unable 2
uneasily 1
unless 1
unstable 1
unwilling 2
up 2
upon 2
urinating 1
using 1
venture 1
village 1
viper 1
wak 20
walk 1
watch 1
way 1
well 1
wet 1
where 1
while 2
who 1
wife 1
wild 1
will 1
willing 1
with 2
within 1
worried 1
worrying 1
worsening 1
would 1
wounded 1
wounds 2
you 2
young 1
yourself 1
