11316598
/m/02r7gwz
/m/02r7gwz
Douglas Coupland
2007-09-25
11 1
162 1
a 19
about 1
access 1
accurate 1
adaptation 1
afraid 1
after 1
age 1
alan 1
albees 1
alcoholic 1
alcoholics 1
also 1
an 1
and 15
appearing 1
are 4
as 4
at 1
back 1
begins 2
bethany 6
bethanys 1
between 1
book 2
brings 1
british 1
brittany 1
broke 1
burtondrunk 1
but 1
by 1
called 1
canada 1
character 1
characters 8
child 1
colleague 1
columbia 1
come 1
coming 1
concerns 1
contain 1
continue 1
coping 1
copy 1
corruption 1
coupland 2
couple 1
date 1
dealing 1
decided 1
deedee 1
description 1
diary 1
different 2
dinner 2
discuss 1
divorce 1
dusty 1
each 2
edward 1
elizabeth 1
emails 1
employees 2
engage 1
episode 1
excerpts 1
fact 1
fairly 1
falconcrest 1
final 1
finds 1
follows 1
for 1
forth 1
friendship 1
from 6
generation 1
girl 1
gloria 2
glove 11
goth 1
guests 1
hardcover 1
has 1
he 1
high 1
him 1
his 8
home 1
in 15
include 1
included 1
including 1
instance 1
interactions 1
interspersed 2
involves 1
is 8
issues 1
it 1
jarlewski 1
jim 1
journal 3
jpod 1
keep 1
know 1
kyle 1
letter 3
letters 7
life 1
like 1
living 1
loss 1
main 2
mcjob 1
middleaged 1
more 2
mother 1
movie 1
named 1
neglected 1
north 1
nothing 1
novel 6
of 16
on 1
other 5
out 1
outside 1
pair 1
play 1
plot 2
pond 11
pressing 1
presumably 1
pretend 1
primary 1
reading 1
reference 1
referred 1
repartee 1
respond 1
richard 1
roger 12
rogers 1
says 1
scattered 1
scene 1
school 1
sections 1
seen 2
short 1
should 1
soon 1
staples 1
stars 1
steve 3
store 1
strike 1
such 1
supposed 1
surgeon 1
taylor 1
text 1
that 3
the 23
their 2
them 1
themselves 1
these 1
they 2
thicke 1
this 3
thorpe 1
thoughts 1
throughout 1
to 14
together 1
tv 1
two 3
ugly 1
up 1
vancouver 1
very 1
virginia 1
walks 1
was 1
went 2
what 2
who 3
whos 1
wife 3
with 4
within 4
witty 1
woolf 1
work 1
working 1
would 1
write 3
writes 3
writing 2
x 1
younger 1
