5611141
/m/0dw6dn
/m/0dw6dn
Alison Croggon

{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 42
abilities 2
ability 1
abject 1
about 1
abruptly 1
accepted 1
accompanied 2
account 1
accustomed 1
achieved 1
act 1
actually 1
adapt 1
adding 1
addition 1
additional 1
additionally 1
advice 1
against 2
agrarian 1
agrees 1
aid 1
all 1
allegiance 1
among 1
an 6
ancestor 1
ancestry 1
and 53
angered 1
ankil 3
annar 3
annarenthoroldian 1
another 1
any 2
apparent 1
appropriatelynamed 1
ardina 6
arduous 1
are 12
arkan 11
arrived 1
art 1
as 10
assume 1
assumes 1
at 8
attacked 4
attacks 1
attempted 1
attempting 1
attended 1
attributed 1
authority 1
awaken 1
awakens 1
away 2
backs 1
bard 7
bardic 4
bards 5
battle 1
be 8
beastlike 1
beauty 1
because 1
become 1
been 3
befriends 1
believe 1
believing 1
belongs 1
beloved 1
between 1
beyond 3
birthplace 1
blackstone 1
born 2
both 1
boulder 1
break 1
briefly 1
broken 1
brother 2
brought 1
bury 1
busk 6
but 5
by 19
cadvan 25
called 6
calls 1
calms 1
cannot 2
capable 1
captivity 3
capture 1
captures 1
care 1
cause 1
causes 1
causing 1
ceremonial 1
ceremony 1
change 1
changed 1
changes 1
child 1
claimed 1
claims 1
coast 1
combat 1
come 1
commemorating 1
companion 1
company 1
confrontation 1
considers 1
contacted 1
containing 1
continue 1
continues 1
continuing 1
control 2
copies 1
corporeal 1
correctly 1
corrode 1
corrupted 1
cossacklike 1
could 1
counted 1
course 1
cousin 1
created 1
creation 1
dark 2
darkness 1
daroki 1
darsor 2
daughter 1
days 4
dead 2
death 1
decide 1
deeply 1
define 1
degradation 1
delivers 1
demands 2
demonstrated 1
deputed 1
dernhil 1
descended 1
desor 1
destiny 4
develop 1
develops 1
dharin 4
direction 1
disasters 1
disturbs 1
divided 1
do 1
does 2
dog 1
dogsled 2
dogsleds 1
doing 3
dorn 2
down 1
drawn 1
drinks 1
during 3
eats 1
economic 1
either 2
elanor 1
elednor 1
elenxi 6
elidhu 6
embark 1
emotional 1
en 2
enables 1
encounter 2
encounters 1
enemies 1
energetic 1
enkir 6
enormous 1
enter 1
escape 1
especially 1
etc 1
ethnicity 1
eventually 1
ever 1
evil 2
exist 1
expectations 1
experience 1
explain 2
extensive 1
faerie 1
failed 1
faithful 1
fashion 1
father 2
fealty 2
