11853840
/m/02rvq2x
/m/02rvq2x
Cynthia Voigt

{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
12 1
14 1
15 1
16 1
64 1
a 20
abandoned 1
abigail 1
ability 2
able 1
about 5
accept 2
accepting 1
across 1
admire 1
advanced 1
adventures 1
afar 1
affecting 1
afraid 2
after 1
age 2
all 3
almost 1
along 2
also 1
although 2
ambition 1
an 3
and 47
annapolis 1
appears 1
applications 1
are 3
as 4
asking 2
at 12
athletic 3
atrack 1
attention 1
attitude 3
away 1
awed 1
baltimore 1
bar 2
baseball 1
be 1
bearing 1
because 4
become 1
becoming 2
begin 1
being 3
believes 2
bladder 1
blond 1
boat 1
book 3
boys 1
brain 1
bravery 1
break 1
briefly 1
brother 3
brotherly 1
brothers 1
build 1
building 2
business 1
but 3
by 2
calm 1
care 1
change 1
changes 2
character 1
children 4
clever 1
clues 1
college 5
comes 1
confidence 2
constant 1
cooking 1
courage 1
courses 2
cs 1
curiosity 1
cycle 1
dark 1
decent 1
described 3
despite 2
diagnose 1
dicey 6
did 1
direct 1
do 1
doctor 2
does 6
done 1
dork 1
down 1
ds 1
during 1
earn 1
easily 1
easton 1
easy 1
economics 1
eldest 1
embarrassed 1
end 2
envious 1
epiphany 1
even 4
eventually 1
experiences 1
eyes 1
facade 1
face 1
factor 1
family 3
farm 1
father 6
fear 1
fears 1
feelings 1
feels 1
fight 1
figure 1
find 2
finds 2
finish 1
first 2
for 10
four 1
friends 1
from 6
frustrated 2
gentle 1
get 1
girls 1
gives 1
goal 1
goes 1
good 2
grades 1
gram 3
grandchild 1
grandchildren 1
grandmother 3
great 1
grown 2
grows 1
had 1
hair 1
hard 2
has 7
hates 1
having 3
hazel 1
hazeleyed 1
he 33
heading 1
heart 1
helping 1
helps 1
her 10
high 1
highly 1
him 6
himself 6
his 18
home 4
homecoming 1
homework 1
however 2
ignores 1
impatient 1
important 1
in 10
including 1
injury 1
insecure 1
insistent 1
intellectual 2
intelligent 1
into 1
investigation 1
is 29
it 4
its 1
james 18
jeff 1
job 1
joined 1
kind 1
labeled 1
labor 1
lack 2
lacks 1
lawyer 1
leading 1
learn 1
leave 1
life 3
like 2
likes 1
lives 2
liza 1
local 1
look 2
looking 1
looks 3
lost 1
lot 1
main 1
maintain 1
man 2
maryland 1
maybeth 6
medical 1
men 3
might 1
mina 1
mind 1
missing 2
more 3
most 1
mother 4
music 1
narrow 1
natural 1
needed 1
needs 2
never 1
no 2
not 8
now 4
of 18
office 1
often 1
old 4
older 2
oldest 1
on 4
only 2
or 4
other 2
others 2
outside 1
own 1
pain 2
parttime 1
patient 1
people 3
person 1
personality 1
physical 2
place 1
playing 1
popular 1
posthigh 1
prefers 1
pretty 1
problem 1
proposes 1
protect 1
questioning 1
questions 1
quiet 1
quit 1
quitter 1
rather 1
real 1
realises 1
really 1
regardless 1
remain 1
renew 1
resembles 1
respect 1
respects 1
reversed 1
roles 1
ruin 1
same 1
sammy 18
say 1
says 1
school 5
search 1
see 1
sees 3
selfacceptance 1
selfconfidence 1
sewing 1
share 1
she 11
should 1
singing 1
skills 1
slow 1
smart 1
smarts 1
so 3
sons 1
sounds 1
sports 1
spring 1
stands 1
start 1
stocky 1
story 1
strengths 1
strong 1
struggles 1
stubborn 2
studying 1
support 1
take 1
takecharge 1
taking 1
talent 2
talking 1
tall 1
teach 1
teaches 1
team 2
teenager 1
tell 1
than 4
that 6
the 25
their 11
them 1
these 2
they 4
thin 1
things 1
think 2
thinking 2
thinks 3
this 3
though 2
through 1
throughout 2
tillerman 8
tillermans 1
time 2
to 20
took 1
turns 1
understanding 1
uninterested 1
until 1
up 5
version 1
very 1
violent 1
voice 1
want 1
wants 4
way 3
wellrounded 1
what 2
whatever 1
when 5
where 1
while 1
who 6
will 2
with 11
wondering 1
work 2
worrying 1
worthwhile 1
years 4
younger 2
