8300520
/m/026zlc5
/m/026zlc5


{"/m/06n90": "Science Fiction"}
1200 1
a 19
ability 1
able 2
advice 1
after 3
all 1
allegiance 1
alone 1
also 1
an 1
and 20
android 1
androids 1
animals 1
another 1
any 1
appearance 1
arc 2
are 3
armed 1
armor 9
army 4
arrives 1
as 7
aside 1
at 1
attack 3
away 1
back 1
barbaric 1
barricaded 1
battle 1
battling 1
be 6
because 1
become 2
been 2
begin 1
begins 2
behind 1
being 1
between 1
blade 1
bolt 1
briefed 1
building 1
but 4
by 10
called 2
can 3
cannot 1
captain 3
carries 1
case 1
cause 1
causing 1
challenging 1
charge 1
claim 1
closing 1
clothing 1
colonization 1
colonize 2
colonizing 3
commissioner 2
completely 1
composed 1
conditions 1
confrontation 1
conquer 1
consensus 5
consisted 1
consisting 1
controlled 1
crewed 1
criminal 1
curious 1
customs 1
decide 1
decides 1
density 1
depending 1
describes 1
destroy 1
destroyed 1
destruction 4
diamond 8
different 1
dimesional 1
disappear 1
disappearance 1
disappears 1
discharge 1
discover 1
discovers 1
disintegrate 1
does 1
dream 1
during 1
each 1
effective 1
either 1
electric 1
eliminate 1
encounter 1
encounters 1
energy 1
enter 2
entering 1
events 1
every 1
except 1
expedition 4
expeditions 1
extending 1
extremely 1
fight 2
filled 1
finding 1
finds 2
first 3
five 1
fixed 1
fleet 4
fleets 1
follows 1
for 7
forbids 1
force 1
forced 1
forefinger 1
friction 1
from 4
gain 1
gang 2
gauntlet 1
gauntlets 1
get 1
gives 1
go 1
god 1
gods 3
golsingh 2
golsinghs 1
greeted 1
guidance 1
had 2
hansen 21
happened 1
has 3
have 2
he 10
head 1
heavily 1
here 1
him 4
himself 2
his 11
how 2
however 1
human 1
humans 1
idiosyncratic 1
ignored 1
impression 1
in 17
initially 1
inside 1
insight 1
instead 2
interposes 1
into 6
investigate 3
is 17
it 3
itself 1
kill 2
kind 1
known 1
land 3
lands 1
later 1
leaders 1
learns 1
led 1
left 3
length 1
little 2
littleused 1
live 1
lives 1
long 1
lord 3
machines 1
made 1
major 1
many 1
matrix 6
meanwhile 1
meets 1
members 2
mentally 1
merchant 1
merchants 1
messengers 1
militaristic 1
missing 2
mission 1
more 1
must 2
named 1
needs 1
nils 1
nonhuman 1
north 5
northworld 6
not 3
nothing 1
novel 2
oath 1
objective 1
obstacles 1
occupying 1
of 29
often 1
on 4
one 2
onetime 1
open 1
opening 2
opposing 1
or 1
original 1
originally 1
out 1
over 1
own 1
part 2
peace 2
peaceful 1
people 3
period 1
place 1
planet 3
police 1
power 1
powered 1
powerless 1
pretechnological 1
previously 1
primitive 1
prior 1
priority 1
problems 1
process 1
promise 1
provides 1
quest 1
quiality 1
rechargs 1
refuses 1
renders 1
repair 2
replicants 1
reputation 1
retaliation 1
reveals 1
rock 1
room 1
ruby 5
rule 1
rules 1
runner 1
ruthlessness 1
same 1
second 1
secondary 1
sees 1
sent 3
sentient 1
series 1
setting 1
several 1
shielding 1
similar 2
single 1
skill 2
slaves 2
smith 1
smiths 1
snow 1
so 2
society 2
solbarth 2
soldiers 1
solely 1
some 1
sophisticated 2
space 1
spared 1
special 1
stay 1
successful 1
suit 4
suits 1
summoned 1
surrendering 1
tactics 1
take 2
takes 1
talk 1
talking 1
teaches 1
team 2
teams 1
technology 1
that 14
the 85
their 1
then 3
there 1
they 3
thing 1
third 1
this 4
though 2
threat 1
threatened 1
three 1
through 1
thumb 1
thusly 1
time 1
to 30
told 1
town 1
travels 1
tries 1
turned 1
understood 1
units 1
very 2
villains 1
violent 1
vulnerable 1
walker 1
want 1
wanted 1
warfare 1
warfilled 1
warm 1
warriors 4
was 8
weapon 2
weapons 2
welcome 1
well 1
what 2
where 1
whereas 1
which 3
while 1
who 5
whole 1
will 1
wins 1
with 7
without 1
withstand 1
world 5
worlds 2
would 2
