850514
/m/03h13d
/m/03h13d
Joe Orton

1 1
2 1
3 1
a 18
about 2
accident 1
act 4
action 1
adoption 1
advances 1
advises 1
after 4
all 1
also 1
altercation 1
ambiguously 1
an 6
and 15
appear 1
apprehensive 1
are 1
arrives 2
as 11
aside 1
assistant 1
at 5
attacks 1
attempts 2
authorities 1
away 1
be 4
bearing 1
bedroom 1
been 2
before 2
begins 2
being 1
believes 1
believing 1
betray 1
between 1
blind 1
board 1
body 1
brother 4
but 1
buy 1
by 1
call 1
car 1
chauffeur 1
child 1
choses 1
cigarettes 1
claims 1
committing 1
compromise 1
conceived 1
concerned 1
confirms 1
confront 1
confronted 1
conveys 1
crude 1
dead 2
death 3
departs 1
despite 1
disapprove 1
discovers 2
dismay 1
distrust 1
divulges 1
down 1
dump 1
eager 1
earlier 2
ed 10
eds 1
employer 1
employers 1
ends 1
especially 1
estranged 1
even 1
evening 2
eventually 2
exchange 1
fabricate 1
facetiously 1
fact 1
far 1
father 3
feels 1
felony 1
few 1
find 1
finding 2
finds 1
for 3
found 1
friends 1
from 3
gave 1
getting 1
given 1
giving 1
go 2
goes 1
had 3
happens 1
has 3
have 2
he 8
her 9
herself 1
him 5
himself 2
hints 1
his 18
home 3
hours 1
however 1
if 2
immediate 1
in 10
initial 1
initially 1
injury 1
insisted 1
insistent 1
intention 1
is 11
it 1
jealousy 1
job 1
joyriding 1
justice 1
kath 12
kaths 1
kathys 1
kemp 5
killed 1
kind 1
know 1
landlady 1
later 2
leave 1
leaves 1
led 1
leg 1
lights 1
live 1
looking 1
make 2
man 3
middleaged 1
mildly 1
misleading 1
months 2
mr 12
much 1
murder 1
murderer 1
nearly 1
negligee 1
night 1
not 1
now 1
number 1
of 5
offer 1
ome 1
on 3
one 1
open 1
opposition 1
orphan 1
out 3
outskirts 1
over 1
pack 2
pair 1
parents 1
passed 1
persuades 1
place 1
police 1
predicament 1
pregnant 2
previous 1
reached 1
reciprocate 1
reconcile 1
recounting 1
recovers 1
relationship 2
relents 1
report 1
result 1
resulting 2
resumes 1
returns 2
revealing 1
reveals 1
room 1
rubbish 1
same 1
seduces 1
seemingly 1
served 1
servitude 1
shares 1
sharing 1
she 5
short 1
sister 2
sleeping 2
sloane 25
sloanes 1
so 1
some 2
somewhat 1
son 2
soon 2
speaking 1
stabbed 1
staying 2
stays 1
story 1
stray 1
strongly 1
subtle 1
taken 1
teenager 1
telephone 1
tenant 1
that 7
the 20
them 1
they 2
things 1
though 1
threw 1
time 2
to 24
together 2
toward 1
transparent 1
trust 1
truth 1
turned 1
ultimately 2
up 1
upon 2
vague 1
versa 1
vice 1
visitor 1
warns 1
was 1
wearing 1
wedlock 1
when 4
which 3
who 2
whom 1
whose 1
will 4
with 14
woman 2
women 1
years 1
young 3
