3158211
/m/08w4dh
/m/08w4dh
David Wellington
2005
a 35
abandoned 3
additional 1
adx 1
after 4
agent 2
all 1
alone 1
along 2
also 1
although 1
always 1
amok 1
an 6
and 30
any 1
approached 1
are 2
area 1
areas 1
arms 1
army 1
arrive 1
arrives 2
as 2
assess 1
assessment 1
at 4
ate 1
atop 1
attacked 3
aura 1
away 1
back 1
bannerman 2
bar 1
be 4
bear 2
become 1
before 1
begins 1
being 1
believed 1
besieged 1
best 1
biological 2
bit 1
biting 1
bitten 2
boyfriend 1
bunker 1
but 2
by 11
cabin 1
california 3
called 2
calling 1
can 1
cannibals 1
captain 2
cause 1
causing 1
characters 1
charge 1
check 1
checks 1
civilian 2
clark 7
coast 1
colorado 6
come 2
coming 1
companion 1
concussion 1
consumed 1
contain 1
continues 1
control 1
convince 1
corpse 1
covered 1
damage 1
dead 1
decides 1
delinquents 1
depart 1
detection 1
determined 1
dick 4
dinner 1
disappear 1
disappears 1
disaster 1
disease 3
disturbing 1
down 2
drawn 2
dying 1
east 1
enjoying 1
epidemic 1
establishment 1
eventually 5
executed 1
exploring 1
exudes 1
falling 1
farm 1
feasting 1
figure 1
find 1
first 3
florence 1
following 1
for 9
force 2
forrest 1
friends 1
from 3
front 1
get 2
ghoul 1
girls 1
go 5
goes 2
greets 1
group 1
guard 2
guards 1
guides 1
gun 1
had 2
handicapped 1
has 1
he 14
head 1
her 10
herself 2
high 1
hill 2
him 7
his 2
hospital 3
house 1
husband 1
in 13
infecting 1
infectious 1
initial 1
inn 2
intelligence 2
intends 1
into 3
introduced 1
investigate 2
is 31
it 3
its 1
kills 2
las 1
later 1
leave 1
let 1
life 1
lifeless 1
likes 1
major 1
making 1
man 6
manages 1
may 1
meet 2
men 1
met 1
mine 1
mission 1
mold 1
morning 1
mysterious 2
national 2
nearby 2
nearest 1
next 1
night 3
nilla 6
not 1
novel 1
nurse 2
occurring 2
of 14
off 1
officer 1
officers 1
on 13
one 4
only 1
others 1
out 2
outbreak 3
over 1
overrun 1
overruns 1
own 1
oxygen 1
pair 1
perceived 1
picked 1
police 2
prison 2
prisoners 1
proceeds 1
psychically 1
quickly 1
random 1
rapid 1
ready 1
reanimated 1
recruited 1
removing 1
report 1
restrained 1
returns 1
revealed 1
rock 1
roof 2
runs 5
rural 1
scene 2
search 1
seeing 3
sees 1
several 1
sex 1
shaft 1
she 12
sheep 2
short 1
show 1
situation 1
slaughtered 1
small 2
solution 1
son 1
source 3
spend 1
spread 1
states 1
steak 1
stop 1
stopping 1
strange 1
street 1
struggle 1
succumbed 1
superiors 1
surmises 1
take 2
takes 1
tasked 1
tells 1
the 66
them 4
then 5
there 2
they 1
this 3
thought 1
time 3
to 38
towards 2
town 1
trained 1
transfers 1
trapped 1
travelled 1
travelling 1
trio 1
tripping 1
truck 1
turning 1
two 5
undead 1
united 1
up 3
using 1
vegas 1
village 1
vision 1
visit 1
vital 1
voice 2
wafers 1
waiting 2
walkers 1
walks 2
walters 2
warden 1
washington 1
way 2
we 1
weapon 1
west 1
what 1
when 7
where 4
which 3
while 2
who 6
will 1
with 6
without 2
woman 10
work 2
young 2
zombie 5
zombies 5
