5889981
/m/0fc17z
/m/0fc17z
Ralph Peters
1991-02
2005 1
2008 1
2015 1
2020 2
a 16
abroad 1
advanced 1
affected 1
africa 1
african 5
africans 2
after 1
against 2
aggression 1
air 2
airborne 2
all 1
alliance 2
along 2
american 6
an 7
and 15
angeles 1
apache 1
are 1
areas 1
army 2
as 4
asian 1
assets 1
associated 1
attacked 1
attacks 1
attempt 1
attempts 1
b2 1
basic 1
battered 1
battle 1
be 1
because 1
begins 1
begun 1
blow 1
bombers 1
bringing 1
building 1
bush 1
but 3
by 9
capital 1
captain 1
cavalry 1
ceasefire 1
central 1
century 1
cities 2
citizens 1
collapse 1
collapsing 1
combination 2
command 1
commanding 1
commands 1
conflict 1
conquering 1
conquest 1
continues 1
corps 2
cost 1
counterattack 1
cripples 1
crippling 1
daring 1
day 1
decline 1
defeated 1
defend 1
defense 1
deployed 1
describes 1
destroyed 2
disease 3
dismemberment 1
does 1
dominated 1
dual 1
due 1
dystopia 1
economic 1
end 1
ends 1
ensure 1
epidemic 1
equipment 1
equipped 1
escalating 1
ethnic 1
evacuated 1
events 1
existing 1
expeditionary 1
experimental 1
fighting 1
finds 1
first 1
for 3
force 4
forces 4
forcing 1
from 5
future 1
gang 1
genocidal 1
george 1
ground 1
guerrilla 2
gunship 1
has 1
have 3
he 1
headline 1
heralded 1
high 1
him 1
himself 1
his 2
home 1
horribly 1
however 2
ignored 1
in 12
inferiority 1
influence 1
innovations 1
insideout 1
insurgents 1
intact 1
intelligence 1
intervenes 1
intheater 1
into 1
is 15
islamic 2
it 1
japan 3
japanese 5
japanesesupported 2
joined 1
kill 1
kinshasa 1
lasers 1
last 1
lax 1
leader 1
leaves 1
life 1
local 1
los 1
luck 1
machines 1
major 2
makes 1
masters 1
mexico 1
miles 1
militant 1
mineralrich 1
muslim 1
named 1
nations 1
naval 1
newspaper 1
not 1
novel 3
nowcolonel 1
nuclear 1
numerous 1
occupied 1
of 18
offensive 1
offer 1
on 4
onboard 1
once 1
one 1
operation 1
order 1
ordered 1
orders 1
other 1
paid 1
part 1
physical 1
place 1
placed 1
planned 1
political 2
poor 1
power 1
president 1
pretoria 1
prevent 1
problems 1
protagonist 1
proves 1
province 2
purpose 1
quality 1
quell 1
radiowave 1
rapidly 1
reads 1
rebel 1
reduce 1
region 1
remnants 1
repel 1
republics 1
resolve 1
resourcewealthy 1
rest 1
returning 1
runciman 3
russian 1
russians 1
safety 1
scarred 1
secret 1
secretly 1
security 1
seizes 1
sends 1
services 1
several 1
shaba 3
sheer 1
slaughtering 1
sleeve 1
so 1
social 1
societal 1
soldiers 1
south 6
soviet 3
spirit 1
spread 1
spreads 2
squadron 2
states 7
still 1
strength 1
strike 2
such 1
suffering 2
surrender 2
swift 1
tactics 1
takes 1
taylor 5
technological 1
technologically 1
territory 1
that 5
the 57
their 4
these 1
they 1
this 1
those 1
thousand 1
through 3
to 13
trained 1
trick 1
unconventional 1
unexpectedly 1
union 3
unit 2
united 6
unleashed 2
unrest 2
unsuspecting 1
up 2
us 2
usaf 1
very 1
violence 1
virus 1
war 5
was 1
way 1
weapon 1
well 1
were 1
when 2
where 2
while 1
willpower 1
with 6
withdrawal 1
world 1
xviii 2
year 2
zaire 2
zairean 1
