18715899
/m/04gvn9c
/m/04gvn9c
Charlotte Roche
2008
{"/m/012jgz": "Autobiographical novel"}
18 1
a 4
all 1
altogether 1
an 1
anal 2
and 10
anonymous 1
answering 1
anus 1
apparent 1
as 1
asks 1
at 4
be 3
becomes 1
bed 1
been 2
blood 1
bored 1
breakup 1
by 4
called 1
can 2
careless 1
carried 1
caused 1
childhood 1
city 1
commit 1
contact 1
daughter 1
days 1
deep 1
desperately 1
different 1
doctor 1
door 1
draw 1
during 1
emergency 1
end 1
ends 1
escorting 1
experience 1
extended 1
extreme 1
falls 1
father 1
favourite 1
feuchtgebiete 1
fissure 1
following 1
for 4
german 1
gets 1
go 2
going 1
haemorrhoids 1
hair 1
happen 1
has 3
have 2
having 2
heart 1
helen 4
her 17
him 1
home 1
hospital 4
hours 1
however 1
if 1
ill 1
immediate 1
in 6
included 1
interest 1
into 2
is 7
it 1
learns 1
little 1
live 1
lonely 1
looks 1
loss 1
love 1
machines 1
male 1
man 1
marriage 1
means 1
memel 1
mentally 1
miracle 1
mother 2
novel 2
nurse 1
occasionally 1
of 7
only 2
out 1
parents 3
pedal 1
periods 1
phone 1
plan 1
prevent 1
proctological 1
prolong 1
rams 1
released 1
removal 1
respective 1
reunite 1
robin 3
same 1
schoolgirl 1
secret 1
secretly 1
seem 1
set 1
shaving 1
she 11
short 1
show 1
since 1
so 1
some 1
soon 1
spends 1
stay 2
stopped 1
successful 1
successfully 1
suicide 1
surgery 2
tells 1
that 2
the 12
their 2
them 2
this 1
through 1
thus 1
time 3
to 12
told 1
treated 1
tried 1
tries 2
up 1
vain 1
visit 1
visiting 1
waits 1
ward 1
wellbeing 1
when 3
which 1
who 1
with 2
world 1
yearold 1
young 1
