21151605
/m/05bzql4
/m/05bzql4
Robert Lawson
1957-08-19
{"/m/0dwly": "Children's literature"}
180s 1
183 1
a 3
after 1
an 1
and 3
arrival 1
as 1
at 3
attractive 1
aunt 2
before 1
begins 1
biggest 1
board 1
brennan 1
bridge 1
build 2
but 2
by 2
city 1
columbian 1
commissioned 1
company 1
conn 3
create 1
does 1
eventually 1
exposition 2
fair 2
ferris 1
for 4
friend 1
fulfills 1
german 1
giant 1
girl 1
guard 1
hard 1
he 8
help 1
him 1
hired 1
his 7
hoping 1
huge 1
in 3
installed 1
ireland 1
irishborn 1
is 4
it 2
job 1
kilroy 1
leaves 2
like 1
marrying 1
martin 1
meets 1
michael 1
moving 1
named 1
new 1
newfound 1
of 1
on 2
predicts 1
prophecy 1
protagonist 1
refuses 1
reunite 1
ride 1
riding 1
she 1
someday 1
soon 1
states 2
stays 1
steamship 1
story 1
takes 1
that 2
the 15
to 7
traveling 1
travels 1
trudy 2
two 1
uncle 3
united 2
upon 1
urging 1
visit 2
wheel 3
while 1
who 2
will 2
wisconsin 2
with 1
work 1
working 1
works 1
world 2
would 1
york 1
