3216507
/m/08zzbh
/m/08zzbh
Eric Kraft

a 7
acts 1
an 1
and 9
are 2
ariadne 1
ariane 6
as 4
at 2
babbington 1
badgirl 1
beauty 1
been 1
beginning 1
begins 1
between 1
blurred 1
by 1
clam 1
comforts 1
demeaning 1
destination 1
detail 1
details 1
dying 1
energetic 1
episodes 1
escape 2
examination 1
exhibition 1
explore 1
fantasy 1
fictional 1
figment 1
filling 1
finishing 1
foil 1
follow 1
for 1
funny 1
going 1
grandfather 1
greek 1
guide 1
has 1
help 1
helps 1
her 5
heroine 1
his 2
home 1
imagination 2
in 4
intimate 1
is 3
island 1
job 1
journey 1
later 1
learn 2
leroy 3
life 2
lines 1
literal 1
long 1
making 1
minotaur 1
much 1
myth 1
named 1
novel 1
of 10
often 1
one 1
personal 2
phases 1
poignant 1
power 1
pretending 1
promiscuous 1
public 1
rarotonga 1
reader 1
reality 1
reinvention 1
relates 1
reputation 1
sentences 1
sequence 1
series 1
several 1
shack 1
she 2
ship 1
story 4
storyteller 1
that 3
the 12
their 1
theseus 1
through 2
throughout 1
to 3
told 1
town 1
tries 1
tropical 1
very 1
way 1
we 4
weaves 1
who 1
wife 1
with 1
yet 1
