24781497
/m/080h46j
/m/080h46j
Judy Blundell
2009-11-03
{"/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel"}
11 1
14 1
3 1
a 7
about 2
actually 1
agent 1
alistair 2
all 1
alliance 1
also 1
amy 14
an 1
and 16
are 5
around 1
as 2
at 2
au 1
australia 3
away 1
babysitter 1
bear 1
because 2
been 1
being 1
black 1
bob 2
book 1
boy 1
briefly 1
brother 1
but 3
by 4
cahill 3
cahills 2
came 1
cant 2
children 1
chooses 1
circle 1
close 1
cloying 1
clue 5
clues 2
continue 1
could 1
cousin 1
criminal 1
dan 11
dans 1
deadly 1
decide 2
destroyed 1
devastatingly 1
died 1
discover 3
distanced 1
dock 1
doing 1
each 1
ekaterina 1
ends 1
eruption 1
escapes 1
even 1
expedition 1
family 1
father 1
filled 1
find 2
finding 1
fire 1
fled 1
following 2
footsteps 1
for 2
friendly 1
from 2
front 1
go 1
gomez 1
grief 1
had 2
have 2
he 1
head 1
help 1
helped 1
helps 2
henderson 1
her 7
him 1
his 3
holt 1
house 1
how 1
however 1
hunt 4
ian 1
in 6
indonesian 1
invitation 1
irina 4
is 1
isabel 6
joins 1
kabra 3
kabras 1
knew 1
known 1
krakatoa 1
lab 1
life 2
look 1
lost 1
lucian 1
made 1
meet 1
meeting 1
memories 2
mission 1
mistakes 1
mother 2
much 1
murdered 2
mysterious 1
natalie 1
need 1
nellie 1
night 1
nikolai 1
not 1
note 1
now 1
of 7
oh 1
old 2
older 1
on 4
only 1
or 1
other 1
out 1
own 1
painful 1
pair 1
parents 6
plane 1
poem 1
pointing 1
previous 1
price 1
reminds 1
risk 1
robert 1
save 1
search 1
secret 1
seemingly 1
send 1
serious 1
sets 1
share 1
she 7
shep 1
so 1
spasky 2
stand 1
staying 1
stops 1
strange 1
surfer 1
talks 1
tell 1
thanks 1
that 3
the 23
their 8
them 3
there 1
they 6
theyre 1
thinking 1
threatened 1
to 16
too 1
trail 1
transporting 1
trent 1
troppo 2
trust 1
turned 1
was 3
water 1
went 1
were 1
what 2
when 2
where 1
which 1
who 3
willing 1
with 5
work 1
world 1
written 1
year 2
